n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
6.600e+03	1.904e-01	1.083e-01	2.068e-01	6.006e-01	3.404e-01	8.787e-01	5.175e-01	3.000e-01	6.000e-01
6.700e+03	1.904e-01	1.083e-01	2.068e-01	6.006e-01	3.404e-01	8.787e-01	5.175e-01	2.783e-01	6.000e-01
6.800e+03	1.904e-01	1.083e-01	2.068e-01	5.911e-01	2.984e-01	8.641e-01	5.491e-01	3.865e-01	6.000e-01
6.900e+03	1.904e-01	1.061e-01	2.068e-01	5.911e-01	2.984e-01	8.641e-01	5.491e-01	3.865e-01	6.000e-01
7.000e+03	1.904e-01	1.061e-01	2.068e-01	5.911e-01	2.984e-01	8.641e-01	5.491e-01	3.865e-01	6.000e-01
7.100e+03	1.904e-01	1.061e-01	2.068e-01	5.911e-01	2.984e-01	8.641e-01	5.491e-01	3.865e-01	6.000e-01
7.200e+03	1.904e-01	1.061e-01	2.068e-01	5.911e-01	2.984e-01	8.641e-01	5.491e-01	4.008e-01	6.022e-01
7.300e+03	1.904e-01	1.061e-01	2.094e-01	5.911e-01	2.984e-01	8.641e-01	5.491e-01	4.008e-01	6.022e-01
7.400e+03	1.904e-01	1.061e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.491e-01	4.008e-01	6.022e-01
7.500e+03	1.904e-01	1.061e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.491e-01	4.008e-01	6.022e-01
7.600e+03	1.904e-01	1.061e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.491e-01	4.008e-01	6.022e-01
7.700e+03	1.904e-01	1.061e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.491e-01	4.008e-01	6.022e-01
7.800e+03	1.904e-01	1.061e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.175e-01	3.865e-01	6.000e-01
7.900e+03	1.904e-01	1.061e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.175e-01	3.865e-01	6.000e-01
8.000e+03	1.904e-01	1.061e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.491e-01	3.000e-01	6.000e-01
8.100e+03	1.904e-01	1.083e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.491e-01	3.000e-01	6.000e-01
8.200e+03	1.904e-01	1.083e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.491e-01	3.000e-01	6.000e-01
8.300e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.491e-01	3.000e-01	6.000e-01
8.400e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.500e-01	3.000e-01	6.022e-01
8.500e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.404e-01	8.709e-01	5.501e-01	3.000e-01	6.022e-01
8.600e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.501e-01	3.000e-01	6.022e-01
8.700e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.501e-01	3.000e-01	6.022e-01
8.800e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.501e-01	3.000e-01	6.022e-01
8.900e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.501e-01	3.865e-01	8.000e-01
9.000e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.501e-01	3.865e-01	8.000e-01
9.100e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.501e-01	3.000e-01	8.000e-01
9.200e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.501e-01	3.001e-01	8.000e-01
9.300e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.501e-01	3.001e-01	8.000e-01
9.400e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.001e-01	8.000e-01
9.500e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.001e-01	8.000e-01
9.600e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.001e-01	8.000e-01
9.700e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.001e-01	8.000e-01
9.800e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.001e-01	8.000e-01
9.900e+03	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.001e-01	8.000e-01
1.000e+04	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.001e-01	8.000e-01
1.010e+04	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.001e-01	8.000e-01
1.020e+04	1.904e-01	1.148e-01	2.094e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.000e-01	8.000e-01
