n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
5.800e+03	1.768e-01	5.030e-02	2.675e-01	3.649e-01	2.371e-01	5.506e-01	4.993e-01	3.497e-15	1.000e+00
5.900e+03	1.552e-01	4.176e-02	2.683e-01	4.311e-01	2.432e-01	6.120e-01	5.000e-01	1.031e-09	1.000e+00
6.000e+03	1.553e-01	4.455e-02	2.833e-01	3.699e-01	2.085e-01	6.207e-01	4.998e-01	3.497e-15	1.000e+00
6.100e+03	1.586e-01	4.422e-02	2.726e-01	3.688e-01	2.034e-01	5.707e-01	2.375e-01	0.000e+00	9.266e-01
6.200e+03	1.520e-01	5.256e-02	2.612e-01	3.650e-01	1.860e-01	5.842e-01	4.993e-01	3.497e-15	1.000e+00
6.300e+03	1.522e-01	3.633e-02	2.901e-01	4.424e-01	2.111e-01	5.726e-01	5.000e-01	2.103e-06	1.000e+00
6.400e+03	1.435e-01	4.977e-02	2.609e-01	3.542e-01	1.811e-01	5.210e-01	4.910e-01	1.031e-09	1.000e+00
6.500e+03	1.430e-01	4.695e-02	2.789e-01	3.644e-01	1.895e-01	5.226e-01	5.000e-01	1.031e-09	1.000e+00
6.600e+03	1.462e-01	5.334e-02	2.781e-01	3.643e-01	1.093e-01	5.244e-01	5.000e-01	3.497e-15	1.000e+00
6.700e+03	1.549e-01	4.833e-02	2.624e-01	3.522e-01	1.092e-01	5.010e-01	5.000e-01	1.031e-09	1.000e+00
6.800e+03	1.498e-01	7.193e-02	2.819e-01	3.650e-01	1.232e-01	5.152e-01	5.000e-01	5.782e-07	1.000e+00
6.900e+03	1.522e-01	4.995e-02	2.710e-01	3.650e-01	1.197e-01	5.161e-01	5.000e-01	1.031e-09	1.000e+00
7.000e+03	1.639e-01	3.878e-02	2.550e-01	3.649e-01	1.141e-01	5.299e-01	4.993e-01	7.216e-15	1.000e+00
7.100e+03	1.438e-01	5.540e-02	2.904e-01	4.022e-01	1.172e-01	5.325e-01	5.000e-01	9.323e-03	1.000e+00
7.200e+03	1.429e-01	4.862e-02	2.805e-01	3.648e-01	1.165e-01	5.238e-01	5.000e-01	1.031e-09	1.000e+00
7.300e+03	1.600e-01	7.455e-02	2.845e-01	3.351e-01	1.074e-01	5.278e-01	4.993e-01	1.031e-09	1.000e+00
