x	y	progress.rate.q.0.05.0.00.quality.avgLastBoolScore	progress.rate.q.0.05.0.10.quality.avgLastBoolScore	progress.rate.q.0.05.0.25.quality.avgLastBoolScore	progress.rate.q.0.05.0.50.quality.avgLastBoolScore	progress.rate.q.0.05.1.00.quality.avgLastBoolScore
3	6	nan	5.000e-01	5.000e-01	5.000e-01	5.500e-01
3	7	nan	5.000e-01	5.000e-01	5.500e-01	6.000e-01
3	8	nan	5.000e-01	5.500e-01	5.500e-01	6.500e-01
3	9	2.500e-01	5.500e-01	5.500e-01	9.000e-01	9.000e-01
4	0	nan	5.000e-01	5.000e-01	5.500e-01	6.500e-01
4	1	nan	5.000e-01	5.000e-01	5.000e-01	5.500e-01
4	2	nan	5.000e-01	5.000e-01	5.000e-01	5.500e-01
4	3	nan	5.000e-01	5.000e-01	5.000e-01	5.500e-01
4	4	nan	4.500e-01	5.000e-01	5.000e-01	5.000e-01
4	5	nan	5.000e-01	5.000e-01	5.500e-01	5.500e-01
4	6	nan	nan	5.000e-01	5.000e-01	5.500e-01
4	7	nan	5.000e-01	5.000e-01	5.500e-01	9.500e-01
4	8	nan	5.500e-01	5.500e-01	5.500e-01	9.500e-01
4	9	0.000e+00	5.000e-01	6.500e-01	6.500e-01	9.000e-01
5	0	nan	5.000e-01	5.000e-01	6.500e-01	6.500e-01
5	1	nan	nan	5.000e-01	5.000e-01	6.500e-01
5	2	nan	nan	5.000e-01	5.500e-01	5.500e-01
5	3	nan	4.500e-01	5.000e-01	5.000e-01	5.500e-01
5	4	nan	4.000e-01	5.000e-01	5.500e-01	5.500e-01
5	5	nan	4.500e-01	5.000e-01	5.000e-01	5.500e-01
5	6	nan	nan	5.000e-01	5.000e-01	5.500e-01
5	7	nan	nan	4.500e-01	5.000e-01	9.500e-01
5	8	nan	4.500e-01	5.000e-01	6.000e-01	9.500e-01
5	9	2.000e-01	4.000e-01	7.500e-01	7.500e-01	9.000e-01
6	0	5.000e-01	5.000e-01	5.000e-01	6.500e-01	6.500e-01
6	1	nan	4.500e-01	5.000e-01	5.000e-01	5.500e-01
6	2	nan	nan	5.000e-01	5.000e-01	5.500e-01
6	3	nan	4.500e-01	4.500e-01	5.000e-01	5.500e-01
6	4	nan	nan	5.000e-01	5.000e-01	5.500e-01
6	5	nan	4.500e-01	4.500e-01	5.000e-01	5.500e-01
6	6	nan	4.500e-01	4.500e-01	5.000e-01	5.000e-01
6	7	nan	4.000e-01	4.500e-01	9.500e-01	9.500e-01
6	8	nan	nan	5.500e-01	5.500e-01	9.500e-01
6	9	3.500e-01	5.500e-01	5.500e-01	9.000e-01	9.000e-01
7	0	4.500e-01	5.000e-01	5.000e-01	6.500e-01	6.500e-01
7	1	nan	4.500e-01	5.000e-01	5.000e-01	5.500e-01
7	2	nan	nan	5.000e-01	5.000e-01	5.500e-01
7	3	nan	nan	nan	5.000e-01	5.500e-01
7	4	nan	nan	4.500e-01	5.000e-01	5.500e-01
7	5	nan	4.500e-01	5.000e-01	5.000e-01	5.500e-01
7	6	nan	nan	5.000e-01	5.000e-01	5.000e-01
7	7	nan	nan	4.500e-01	9.500e-01	9.500e-01
7	8	nan	4.500e-01	4.500e-01	4.500e-01	9.500e-01
7	9	nan	4.500e-01	5.000e-01	9.000e-01	9.000e-01
8	0	nan	5.000e-01	5.000e-01	6.500e-01	1.000e+00
8	1	nan	4.500e-01	4.500e-01	5.000e-01	1.000e+00
8	2	nan	nan	4.500e-01	4.500e-01	5.000e-01
8	3	nan	4.500e-01	5.000e-01	5.000e-01	5.000e-01
8	4	nan	4.500e-01	5.000e-01	5.000e-01	9.500e-01
8	5	nan	4.500e-01	5.000e-01	5.000e-01	5.000e-01
8	6	nan	4.500e-01	5.000e-01	5.000e-01	5.000e-01
8	7	nan	4.500e-01	4.500e-01	9.500e-01	9.500e-01
8	8	nan	4.500e-01	4.500e-01	4.500e-01	9.500e-01
8	9	nan	4.500e-01	4.500e-01	9.000e-01	9.000e-01
9	0	nan	4.500e-01	8.500e-01	8.500e-01	1.000e+00
9	1	nan	nan	5.000e-01	5.500e-01	5.500e-01
9	2	nan	nan	4.500e-01	5.000e-01	5.000e-01
9	3	nan	nan	5.000e-01	5.000e-01	5.500e-01
9	4	nan	5.000e-01	5.000e-01	5.000e-01	8.500e-01
9	5	nan	nan	5.000e-01	5.000e-01	5.500e-01
9	6	nan	nan	5.000e-01	5.000e-01	5.500e-01
9	7	nan	nan	5.000e-01	9.500e-01	9.500e-01
9	8	nan	nan	5.000e-01	5.500e-01	9.500e-01
9	9	nan	6.500e-01	7.500e-01	9.000e-01	9.500e-01
