n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
5.700e+03	1.999e-01	3.916e-02	2.658e-01	4.000e-01	2.447e-01	7.069e-01	4.500e-01	1.640e-01	6.000e-01
5.800e+03	2.034e-01	1.295e-01	3.011e-01	4.988e-01	2.816e-01	8.103e-01	4.090e-01	1.507e-01	6.000e-01
5.900e+03	1.880e-01	4.439e-02	2.595e-01	5.761e-01	2.327e-01	7.260e-01	4.128e-01	1.522e-01	6.000e-01
6.000e+03	1.797e-01	6.218e-02	2.126e-01	4.973e-01	2.372e-01	6.794e-01	4.090e-01	1.000e-01	6.000e-01
6.100e+03	1.880e-01	8.093e-02	2.481e-01	5.597e-01	1.036e-01	7.171e-01	4.074e-01	4.639e-02	6.000e-01
6.200e+03	2.011e-01	-2.907e-02	2.634e-01	4.625e-01	3.038e-01	8.284e-01	4.463e-01	-3.535e-03	6.000e-01
6.300e+03	2.042e-01	1.243e-01	2.813e-01	4.571e-01	3.681e-02	7.447e-01	4.500e-01	1.613e-02	6.000e-01
6.400e+03	2.129e-01	1.493e-01	2.940e-01	5.957e-01	2.268e-01	7.835e-01	4.128e-01	-4.241e-02	6.000e-01
6.500e+03	1.650e-01	-1.037e-01	2.334e-01	6.402e-01	1.545e-01	7.805e-01	4.500e-01	2.565e-02	6.000e-01
6.600e+03	1.928e-01	1.044e-01	2.716e-01	5.901e-01	1.935e-01	7.671e-01	4.998e-01	4.250e-02	6.000e-01
6.700e+03	1.880e-01	5.645e-02	2.670e-01	3.976e-01	1.627e-01	6.852e-01	4.659e-01	7.095e-02	6.000e-01
6.800e+03	2.085e-01	1.086e-01	3.130e-01	3.958e-01	1.067e-01	8.355e-01	4.128e-01	1.438e-01	6.000e-01
6.900e+03	1.928e-01	8.687e-02	2.882e-01	4.092e-01	1.167e-01	6.268e-01	4.090e-01	1.418e-01	6.000e-01
7.000e+03	2.034e-01	1.086e-01	2.793e-01	5.427e-01	1.835e-01	7.898e-01	4.090e-01	1.721e-01	6.000e-01
7.100e+03	1.816e-01	1.637e-02	2.791e-01	4.833e-01	6.502e-02	6.814e-01	4.128e-01	9.617e-02	6.000e-01
7.200e+03	1.957e-01	3.171e-02	2.956e-01	5.491e-01	1.720e-01	7.663e-01	4.128e-01	1.970e-01	6.000e-01
7.300e+03	2.413e-01	8.655e-02	3.313e-01	5.516e-01	1.782e-01	8.032e-01	4.128e-01	1.174e-01	6.000e-01
7.400e+03	2.034e-01	7.047e-03	2.546e-01	4.019e-01	4.062e-02	8.420e-01	4.814e-01	3.468e-01	6.000e-01
7.500e+03	1.695e-01	-3.745e-02	2.469e-01	5.799e-01	1.657e-01	7.045e-01	4.052e-01	-7.067e-02	6.000e-01
7.600e+03	1.996e-01	7.593e-02	2.720e-01	5.880e-01	1.337e-01	7.453e-01	4.090e-01	2.672e-02	6.000e-01
7.700e+03	2.104e-01	1.026e-01	2.669e-01	4.037e-01	2.346e-01	7.493e-01	4.500e-01	1.775e-01	6.000e-01
7.800e+03	1.894e-01	5.936e-02	3.000e-01	4.817e-01	2.987e-01	7.888e-01	4.090e-01	2.245e-03	6.000e-01
7.900e+03	1.880e-01	2.267e-02	2.443e-01	5.900e-01	2.319e-01	8.477e-01	4.696e-01	1.181e-01	6.000e-01
8.000e+03	2.223e-01	-8.384e-03	2.711e-01	4.524e-01	1.853e-01	9.114e-01	4.402e-01	1.209e-05	6.000e-01
8.100e+03	1.969e-01	-6.573e-02	2.851e-01	6.367e-01	1.948e-01	9.169e-01	4.090e-01	-5.177e-02	6.000e-01
8.200e+03	2.034e-01	9.551e-02	3.494e-01	4.431e-01	1.483e-01	7.857e-01	3.500e-01	1.639e-01	6.000e-01
8.300e+03	2.022e-01	1.086e-01	2.890e-01	4.272e-01	5.526e-02	7.272e-01	4.090e-01	3.936e-02	6.000e-01
8.400e+03	1.903e-01	2.812e-02	2.695e-01	4.000e-01	2.158e-01	8.294e-01	4.052e-01	2.082e-02	6.000e-01
8.500e+03	1.880e-01	1.121e-01	2.709e-01	4.000e-01	-4.080e-02	9.006e-01	4.090e-01	-1.823e-02	6.037e-01
8.600e+03	1.908e-01	1.283e-01	2.902e-01	4.000e-01	2.208e-01	7.228e-01	4.998e-01	1.745e-01	6.490e-01
8.700e+03	1.841e-01	3.535e-02	2.410e-01	5.199e-01	2.835e-01	7.459e-01	4.522e-01	1.577e-01	6.000e-01
8.800e+03	1.844e-01	3.736e-02	2.350e-01	4.688e-01	7.603e-02	8.669e-01	4.998e-01	7.690e-02	6.000e-01
8.900e+03	1.944e-01	1.093e-01	2.315e-01	6.236e-01	2.373e-01	8.596e-01	4.500e-01	1.892e-01	6.000e-01
9.000e+03	2.105e-01	-4.666e-02	2.541e-01	6.297e-01	2.963e-01	8.005e-01	4.500e-01	4.502e-03	6.000e-01
9.100e+03	1.915e-01	1.161e-01	2.820e-01	4.208e-01	1.813e-01	7.352e-01	4.000e-01	1.040e-01	6.000e-01
9.200e+03	1.880e-01	-3.089e-02	2.482e-01	3.539e-01	2.103e-01	7.524e-01	4.562e-01	-4.798e-11	6.000e-01
9.300e+03	1.610e-01	3.091e-02	2.230e-01	5.908e-01	2.192e-01	8.162e-01	4.728e-01	7.823e-02	6.000e-01
9.400e+03	1.880e-01	4.757e-02	2.702e-01	4.000e-01	1.856e-01	7.741e-01	4.914e-01	1.770e-01	6.000e-01
9.500e+03	2.034e-01	1.150e-01	2.728e-01	3.222e-01	2.386e-01	7.507e-01	4.090e-01	1.148e-01	6.000e-01
