n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
6.200e+03	3.545e-01	1.875e-01	4.561e-01	6.506e-01	5.217e-01	7.978e-01	2.687e-01	1.090e-01	4.956e-01
6.300e+03	3.642e-01	1.875e-01	4.650e-01	6.506e-01	5.217e-01	7.978e-01	2.687e-01	1.090e-01	4.956e-01
6.400e+03	3.642e-01	1.977e-01	4.650e-01	6.506e-01	5.217e-01	7.978e-01	2.033e-01	1.090e-01	4.762e-01
6.500e+03	3.642e-01	1.977e-01	4.650e-01	6.147e-01	5.186e-01	7.704e-01	2.033e-01	1.090e-01	4.762e-01
6.600e+03	3.642e-01	1.977e-01	4.650e-01	6.147e-01	5.186e-01	7.704e-01	2.033e-01	1.090e-01	4.762e-01
6.700e+03	3.642e-01	1.977e-01	4.650e-01	6.147e-01	5.186e-01	7.704e-01	2.033e-01	1.090e-01	4.762e-01
6.800e+03	3.642e-01	1.977e-01	4.650e-01	6.093e-01	4.995e-01	7.704e-01	2.687e-01	1.090e-01	4.762e-01
6.900e+03	3.642e-01	1.977e-01	4.650e-01	6.093e-01	4.995e-01	7.704e-01	2.687e-01	1.090e-01	4.762e-01
7.000e+03	3.687e-01	1.977e-01	4.650e-01	6.093e-01	4.995e-01	7.704e-01	2.687e-01	1.090e-01	4.536e-01
7.100e+03	3.687e-01	2.097e-01	4.650e-01	6.093e-01	4.995e-01	7.704e-01	2.687e-01	1.090e-01	4.536e-01
7.200e+03	3.687e-01	2.097e-01	4.650e-01	5.809e-01	4.884e-01	7.704e-01	2.033e-01	1.090e-01	4.536e-01
7.300e+03	3.687e-01	2.097e-01	4.561e-01	5.809e-01	4.873e-01	7.704e-01	2.033e-01	1.090e-01	4.536e-01
7.400e+03	3.642e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	2.033e-01	1.090e-01	4.536e-01
7.500e+03	3.658e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	2.033e-01	1.090e-01	4.536e-01
7.600e+03	3.658e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	1.804e-01	9.489e-02	4.266e-01
7.700e+03	3.658e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	1.804e-01	9.489e-02	4.266e-01
7.800e+03	3.687e-01	2.097e-01	4.410e-01	5.809e-01	4.873e-01	7.704e-01	1.715e-01	8.204e-02	4.190e-01
7.900e+03	3.687e-01	2.097e-01	4.410e-01	5.809e-01	4.873e-01	7.704e-01	1.715e-01	8.204e-02	4.190e-01
8.000e+03	3.687e-01	2.097e-01	4.410e-01	5.809e-01	4.873e-01	7.704e-01	1.715e-01	8.204e-02	4.536e-01
8.100e+03	3.687e-01	2.097e-01	4.410e-01	5.809e-01	4.873e-01	7.704e-01	1.715e-01	8.204e-02	4.536e-01
8.200e+03	3.687e-01	2.097e-01	4.410e-01	5.809e-01	4.873e-01	7.704e-01	1.715e-01	8.121e-02	4.536e-01
8.300e+03	3.667e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	1.804e-01	8.204e-02	4.728e-01
8.400e+03	3.667e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	1.804e-01	8.204e-02	4.728e-01
8.500e+03	3.667e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	1.804e-01	8.204e-02	4.536e-01
8.600e+03	3.667e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	1.804e-01	8.204e-02	4.536e-01
8.700e+03	3.667e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	2.033e-01	8.204e-02	4.728e-01
8.800e+03	3.667e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	2.388e-01	9.489e-02	4.762e-01
8.900e+03	3.667e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	2.388e-01	9.489e-02	4.762e-01
9.000e+03	3.687e-01	2.097e-01	4.326e-01	5.809e-01	4.873e-01	7.704e-01	2.033e-01	9.489e-02	4.762e-01
9.100e+03	3.687e-01	2.097e-01	4.326e-01	5.701e-01	4.873e-01	7.429e-01	2.033e-01	9.489e-02	4.762e-01
9.200e+03	3.687e-01	2.097e-01	4.326e-01	5.701e-01	4.873e-01	7.429e-01	2.033e-01	9.489e-02	4.762e-01
9.300e+03	3.667e-01	2.097e-01	4.234e-01	5.701e-01	4.873e-01	7.429e-01	1.804e-01	8.204e-02	4.728e-01
9.400e+03	3.667e-01	2.097e-01	4.234e-01	5.701e-01	4.873e-01	7.429e-01	1.804e-01	8.204e-02	4.728e-01
9.500e+03	3.667e-01	2.097e-01	4.234e-01	5.701e-01	4.873e-01	7.429e-01	1.804e-01	8.204e-02	4.728e-01
9.600e+03	3.925e-01	2.941e-01	4.326e-01	5.701e-01	4.873e-01	7.429e-01	1.804e-01	8.204e-02	4.728e-01
9.700e+03	3.925e-01	2.941e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
9.800e+03	3.925e-01	2.941e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
9.900e+03	3.925e-01	2.941e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
1.000e+04	3.976e-01	2.941e-01	4.410e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
1.010e+04	3.976e-01	2.941e-01	4.410e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
1.020e+04	3.976e-01	2.941e-01	4.410e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
1.030e+04	3.976e-01	2.941e-01	4.410e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
1.040e+04	3.976e-01	2.941e-01	4.410e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
1.050e+04	3.976e-01	2.941e-01	4.410e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
1.060e+04	3.976e-01	2.941e-01	4.410e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
1.070e+04	3.976e-01	2.941e-01	4.410e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
1.080e+04	4.004e-01	3.069e-01	4.518e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.489e-02	4.956e-01
1.090e+04	4.004e-01	3.069e-01	4.518e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.842e-02	4.956e-01
1.100e+04	4.004e-01	3.069e-01	4.518e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.842e-02	4.956e-01
1.110e+04	4.004e-01	3.069e-01	4.518e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	9.842e-02	4.956e-01
1.120e+04	4.004e-01	3.069e-01	4.518e-01	5.661e-01	4.873e-01	7.353e-01	1.987e-01	1.090e-01	4.956e-01
1.130e+04	4.004e-01	3.069e-01	4.518e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	5.260e-01
1.140e+04	4.004e-01	3.069e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.380e-01
1.150e+04	4.004e-01	3.069e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.380e-01
