n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.230e+04	2.723e-01	3.808e-03	3.146e-01	5.000e-01	8.054e-02	7.714e-01	4.992e-01	2.042e-12	5.000e-01
1.240e+04	2.303e-01	4.117e-04	2.950e-01	4.628e-01	1.086e-01	8.000e-01	4.453e-01	-7.340e-02	5.000e-01
1.250e+04	2.355e-01	1.675e-01	2.777e-01	5.000e-01	1.657e-02	9.185e-01	3.089e-01	-1.914e-07	5.000e-01
1.260e+04	2.466e-01	1.934e-02	3.200e-01	5.106e-01	3.446e-01	8.200e-01	3.225e-03	-1.016e-01	5.000e-01
1.270e+04	2.521e-01	2.387e-02	3.320e-01	4.998e-01	7.334e-02	6.488e-01	3.009e-01	-1.521e-02	5.000e-01
1.280e+04	2.591e-01	7.078e-03	3.209e-01	4.996e-01	1.340e-01	8.041e-01	5.000e-01	-4.052e-03	5.000e-01
1.290e+04	2.450e-01	8.846e-11	2.815e-01	5.737e-01	4.742e-02	8.554e-01	4.987e-01	-6.887e-11	5.000e-01
1.300e+04	2.716e-01	1.937e-01	3.154e-01	6.331e-01	1.431e-01	8.970e-01	8.636e-02	-2.828e-05	5.000e-01
1.310e+04	2.280e-01	-1.899e-04	2.946e-01	5.839e-01	1.655e-01	9.147e-01	4.982e-01	-1.725e-07	5.000e-01
1.320e+04	2.328e-01	-8.397e-10	2.893e-01	5.398e-01	4.509e-02	8.116e-01	4.973e-01	-9.393e-07	5.000e-01
1.330e+04	2.690e-01	1.882e-01	3.240e-01	5.333e-01	2.579e-01	7.557e-01	5.000e-01	-3.386e-15	5.000e-01
1.340e+04	2.973e-01	1.852e-01	3.360e-01	5.000e-01	5.759e-02	8.971e-01	5.000e-01	-4.891e-10	5.000e-01
1.350e+04	2.397e-01	1.398e-01	3.181e-01	4.962e-01	1.014e-01	7.607e-01	1.402e-01	-2.242e-02	5.000e-01
