n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
7.400e+03	2.513e-01	-1.716e-04	5.000e-01	5.462e-01	4.059e-01	7.137e-01	1.000e+00	2.473e-01	1.000e+00
7.500e+03	2.607e-01	9.954e-13	5.000e-01	5.355e-01	4.058e-01	6.925e-01	1.000e+00	3.344e-01	1.000e+00
7.600e+03	2.609e-01	-8.545e-09	5.000e-01	5.091e-01	3.953e-01	6.820e-01	1.000e+00	2.762e-01	1.000e+00
7.700e+03	2.545e-01	-1.608e-07	5.000e-01	5.086e-01	4.058e-01	6.878e-01	1.000e+00	3.700e-01	1.000e+00
7.800e+03	3.066e-01	6.895e-08	5.000e-01	5.350e-01	4.059e-01	6.939e-01	1.000e+00	4.708e-01	1.000e+00
7.900e+03	2.545e-01	-7.727e-13	4.993e-01	5.354e-01	4.169e-01	7.003e-01	1.000e+00	5.000e-01	1.000e+00
8.000e+03	2.456e-01	-8.987e-02	4.534e-01	5.073e-01	4.083e-01	7.097e-01	1.000e+00	5.000e-01	1.000e+00
8.100e+03	2.513e-01	-6.118e-05	4.710e-01	5.354e-01	4.059e-01	6.898e-01	1.000e+00	3.894e-01	1.000e+00
8.200e+03	2.608e-01	3.076e-07	5.000e-01	5.510e-01	4.186e-01	6.891e-01	1.000e+00	2.778e-01	1.000e+00
8.300e+03	2.545e-01	-8.782e-02	4.548e-01	5.124e-01	4.058e-01	7.163e-01	1.000e+00	2.766e-01	1.000e+00
8.400e+03	2.513e-01	-8.800e-02	4.509e-01	5.352e-01	4.273e-01	7.202e-01	1.000e+00	4.493e-01	1.000e+00
8.500e+03	2.513e-01	-1.042e-01	4.554e-01	5.356e-01	4.360e-01	7.183e-01	1.000e+00	4.997e-01	1.000e+00
8.600e+03	2.608e-01	8.183e-06	5.000e-01	5.352e-01	4.141e-01	6.927e-01	1.000e+00	2.931e-01	1.000e+00
8.700e+03	2.609e-01	4.829e-15	4.990e-01	5.607e-01	4.156e-01	7.325e-01	1.000e+00	2.614e-01	1.000e+00
8.800e+03	2.513e-01	-1.022e-01	4.711e-01	5.662e-01	4.210e-01	7.101e-01	1.000e+00	2.738e-01	1.000e+00
8.900e+03	2.545e-01	-4.139e-02	5.000e-01	5.468e-01	4.249e-01	7.163e-01	1.000e+00	1.348e-01	1.000e+00
9.000e+03	2.545e-01	-9.309e-02	4.496e-01	5.355e-01	4.058e-01	6.975e-01	1.000e+00	2.765e-01	1.000e+00
