n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
5.700e+03	1.240e-01	3.515e-02	2.441e-01	2.760e-01	1.941e-01	3.434e-01	1.725e-01	7.812e-02	3.326e-01
5.800e+03	1.240e-01	3.515e-02	2.441e-01	2.760e-01	1.962e-01	3.380e-01	1.725e-01	7.812e-02	3.326e-01
5.900e+03	1.240e-01	3.515e-02	2.441e-01	2.760e-01	1.962e-01	3.380e-01	1.725e-01	7.812e-02	3.326e-01
6.000e+03	1.240e-01	3.515e-02	2.441e-01	2.760e-01	1.962e-01	3.544e-01	1.725e-01	7.812e-02	3.326e-01
6.100e+03	1.240e-01	3.515e-02	2.441e-01	2.760e-01	1.941e-01	3.544e-01	1.725e-01	7.812e-02	3.326e-01
6.200e+03	1.240e-01	3.515e-02	2.441e-01	2.760e-01	1.941e-01	3.544e-01	1.719e-01	7.802e-02	3.326e-01
6.300e+03	1.240e-01	3.515e-02	2.441e-01	2.760e-01	1.941e-01	3.544e-01	2.002e-01	7.812e-02	3.593e-01
6.400e+03	1.240e-01	3.515e-02	2.441e-01	2.709e-01	1.932e-01	3.380e-01	1.725e-01	7.812e-02	3.326e-01
6.500e+03	1.240e-01	3.515e-02	2.441e-01	2.709e-01	1.932e-01	3.380e-01	1.719e-01	7.812e-02	3.326e-01
6.600e+03	1.240e-01	3.515e-02	2.441e-01	2.709e-01	1.932e-01	3.380e-01	1.719e-01	7.812e-02	3.326e-01
6.700e+03	1.240e-01	3.515e-02	2.441e-01	2.709e-01	1.932e-01	3.380e-01	1.719e-01	7.812e-02	3.326e-01
6.800e+03	1.240e-01	3.515e-02	2.441e-01	2.709e-01	1.932e-01	3.380e-01	1.719e-01	7.812e-02	3.593e-01
6.900e+03	1.240e-01	3.515e-02	2.441e-01	2.709e-01	1.932e-01	3.380e-01	1.343e-01	6.660e-02	3.326e-01
7.000e+03	1.240e-01	3.515e-02	2.441e-01	2.709e-01	1.932e-01	3.312e-01	1.343e-01	6.660e-02	3.326e-01
7.100e+03	1.240e-01	3.515e-02	2.441e-01	2.709e-01	1.932e-01	3.312e-01	1.299e-01	5.772e-02	2.375e-01
7.200e+03	1.393e-01	4.350e-02	2.479e-01	2.760e-01	1.941e-01	3.380e-01	1.299e-01	5.772e-02	2.375e-01
7.300e+03	1.393e-01	4.350e-02	2.479e-01	2.760e-01	1.941e-01	3.312e-01	1.299e-01	5.772e-02	2.375e-01
7.400e+03	1.393e-01	4.350e-02	2.479e-01	2.760e-01	1.941e-01	3.312e-01	1.299e-01	5.772e-02	2.375e-01
7.500e+03	1.240e-01	4.350e-02	2.479e-01	2.709e-01	1.932e-01	3.248e-01	1.299e-01	5.772e-02	2.375e-01
7.600e+03	1.240e-01	4.350e-02	2.479e-01	2.709e-01	1.932e-01	3.312e-01	1.299e-01	5.772e-02	2.375e-01
7.700e+03	1.240e-01	4.350e-02	2.479e-01	2.709e-01	1.932e-01	3.312e-01	1.299e-01	5.772e-02	2.375e-01
7.800e+03	1.240e-01	4.350e-02	2.441e-01	2.760e-01	1.932e-01	3.706e-01	1.299e-01	5.772e-02	2.375e-01
7.900e+03	1.240e-01	4.350e-02	2.441e-01	2.760e-01	1.932e-01	3.706e-01	1.299e-01	5.772e-02	2.375e-01
8.000e+03	1.240e-01	4.350e-02	2.441e-01	2.760e-01	1.932e-01	3.706e-01	1.299e-01	5.772e-02	2.375e-01
8.100e+03	1.240e-01	4.350e-02	2.441e-01	2.954e-01	1.932e-01	3.859e-01	1.343e-01	6.660e-02	3.593e-01
8.200e+03	1.240e-01	4.350e-02	2.441e-01	2.954e-01	1.932e-01	3.859e-01	1.343e-01	6.660e-02	3.593e-01
8.300e+03	1.240e-01	4.350e-02	2.441e-01	2.954e-01	1.941e-01	3.966e-01	1.719e-01	6.660e-02	3.593e-01
