n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
3.100e+03	3.245e-01	-7.698e-02	4.000e-01	6.141e-01	3.925e-01	7.605e-01	7.000e-01	3.126e-01	9.677e-01
3.200e+03	3.245e-01	-7.698e-02	4.000e-01	6.205e-01	4.233e-01	7.839e-01	7.000e-01	3.126e-01	9.677e-01
3.300e+03	3.245e-01	-7.698e-02	4.000e-01	6.141e-01	4.233e-01	7.605e-01	7.000e-01	3.544e-01	9.998e-01
3.400e+03	3.245e-01	-7.698e-02	4.000e-01	6.141e-01	4.233e-01	7.605e-01	7.000e-01	3.544e-01	9.677e-01
3.500e+03	3.245e-01	-7.698e-02	4.000e-01	6.141e-01	4.233e-01	7.605e-01	7.000e-01	3.544e-01	9.999e-01
3.600e+03	3.748e-01	-6.779e-02	4.000e-01	6.141e-01	4.233e-01	7.605e-01	7.000e-01	3.500e-01	9.677e-01
3.700e+03	3.748e-01	-6.779e-02	4.000e-01	6.141e-01	4.233e-01	7.839e-01	7.000e-01	3.500e-01	9.677e-01
3.800e+03	3.748e-01	-6.779e-02	4.000e-01	5.849e-01	4.233e-01	7.605e-01	7.000e-01	3.500e-01	9.677e-01
3.900e+03	3.691e-01	-6.779e-02	4.000e-01	5.849e-01	4.233e-01	7.605e-01	7.000e-01	2.114e-01	9.677e-01
4.000e+03	3.691e-01	-6.779e-02	4.000e-01	5.849e-01	4.233e-01	7.605e-01	7.000e-01	2.114e-01	9.677e-01
4.100e+03	3.691e-01	-6.779e-02	4.000e-01	5.849e-01	4.233e-01	7.605e-01	7.000e-01	2.114e-01	9.677e-01
4.200e+03	3.691e-01	-6.779e-02	4.000e-01	5.849e-01	4.566e-01	7.605e-01	7.000e-01	2.114e-01	9.677e-01
4.300e+03	3.691e-01	-6.779e-02	4.000e-01	6.141e-01	4.877e-01	7.839e-01	7.000e-01	2.114e-01	9.677e-01
4.400e+03	3.691e-01	-6.779e-02	4.000e-01	6.141e-01	4.877e-01	7.839e-01	7.000e-01	2.114e-01	9.677e-01
4.500e+03	3.691e-01	-6.779e-02	4.000e-01	5.849e-01	4.566e-01	7.839e-01	7.000e-01	3.000e-01	1.000e+00
4.600e+03	3.691e-01	-6.779e-02	4.000e-01	5.608e-01	4.233e-01	7.605e-01	7.000e-01	3.000e-01	1.000e+00
4.700e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	4.089e-01	7.605e-01	7.000e-01	3.000e-01	1.000e+00
4.800e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	4.089e-01	7.605e-01	8.137e-01	3.500e-01	1.000e+00
4.900e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	4.089e-01	7.605e-01	8.137e-01	3.000e-01	1.000e+00
5.000e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	4.089e-01	7.605e-01	8.137e-01	3.000e-01	1.000e+00
5.100e+03	3.691e-01	-6.779e-02	4.000e-01	5.608e-01	4.089e-01	7.605e-01	8.137e-01	3.000e-01	1.000e+00
5.200e+03	3.691e-01	-6.779e-02	4.000e-01	5.608e-01	4.089e-01	7.605e-01	8.137e-01	3.000e-01	1.000e+00
5.300e+03	3.691e-01	-6.779e-02	4.000e-01	5.608e-01	4.089e-01	7.605e-01	8.137e-01	3.000e-01	1.000e+00
5.400e+03	3.691e-01	-6.779e-02	4.000e-01	5.608e-01	4.089e-01	7.605e-01	8.137e-01	3.494e-01	1.000e+00
5.500e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	3.925e-01	7.113e-01	8.137e-01	3.494e-01	1.000e+00
