n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
9.200e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	4.210e-01	2.176e-01	7.343e-01
9.300e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	4.210e-01	2.176e-01	7.343e-01
9.400e+03	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	4.210e-01	2.176e-01	7.343e-01
9.500e+03	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	4.210e-01	2.176e-01	7.343e-01
9.600e+03	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	4.210e-01	2.176e-01	7.343e-01
9.700e+03	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	4.210e-01	2.163e-01	7.343e-01
9.800e+03	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	4.210e-01	2.163e-01	7.343e-01
9.900e+03	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	4.210e-01	2.163e-01	7.343e-01
1.000e+04	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	4.210e-01	2.163e-01	7.343e-01
1.010e+04	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	3.951e-01	2.163e-01	6.252e-01
1.020e+04	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	3.951e-01	2.163e-01	6.252e-01
1.030e+04	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	3.951e-01	2.163e-01	6.252e-01
1.040e+04	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	3.951e-01	2.163e-01	6.252e-01
1.050e+04	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	3.951e-01	2.163e-01	6.252e-01
1.060e+04	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	3.951e-01	2.163e-01	6.252e-01
1.070e+04	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	3.951e-01	2.163e-01	6.252e-01
1.080e+04	5.356e-02	1.281e-02	9.889e-02	3.933e-01	9.734e-02	4.785e-01	3.946e-01	2.163e-01	6.252e-01
1.090e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.946e-01	2.163e-01	6.252e-01
1.100e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.946e-01	2.163e-01	6.252e-01
1.110e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.946e-01	2.163e-01	6.252e-01
1.120e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.946e-01	2.163e-01	6.252e-01
1.130e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.685e-01	2.163e-01	6.252e-01
1.140e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.685e-01	2.163e-01	5.680e-01
1.150e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.685e-01	2.163e-01	5.680e-01
1.160e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.612e-01	2.163e-01	5.639e-01
1.170e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.612e-01	2.163e-01	5.639e-01
1.180e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.612e-01	2.163e-01	5.639e-01
1.190e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.612e-01	2.163e-01	5.639e-01
1.200e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.612e-01	2.163e-01	5.639e-01
1.210e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.612e-01	2.163e-01	5.639e-01
1.220e+04	5.356e-02	1.281e-02	9.889e-02	3.885e-01	9.431e-02	4.688e-01	3.612e-01	2.163e-01	5.639e-01
