n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
1.490e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.500e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.510e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.520e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.530e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.540e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.550e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.560e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.570e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.580e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.590e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.600e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.610e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.620e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.803e-01	1.404e-01	7.255e-01
1.630e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.803e-01	1.404e-01	7.255e-01
1.640e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.803e-01	1.404e-01	7.255e-01
1.650e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.803e-01	1.404e-01	7.255e-01
1.660e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	7.255e-01
1.670e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	7.255e-01
1.680e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.803e-01	1.781e-01	7.255e-01
1.690e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.803e-01	1.781e-01	7.255e-01
1.700e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.803e-01	1.781e-01	6.975e-01
1.710e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.803e-01	1.781e-01	6.975e-01
1.720e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.730e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.740e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.750e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.760e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.770e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.780e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.790e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.800e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.810e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.820e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.830e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.840e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.857e-01	1.781e-01	7.255e-01
1.850e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.803e-01	1.404e-01	7.255e-01
1.860e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.803e-01	1.404e-01	7.255e-01
1.870e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.744e-01	1.404e-01	6.975e-01
1.880e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.744e-01	1.404e-01	6.975e-01
1.890e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.744e-01	1.404e-01	6.975e-01
1.900e+04	5.790e-02	3.019e-02	9.726e-02	9.542e-02	6.419e-02	4.450e-01	4.744e-01	1.404e-01	6.975e-01
