n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
8.300e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.147e-03	1.800e-02	2.381e-04	6.409e-09	2.421e-01
8.400e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.147e-03	1.800e-02	2.381e-04	6.409e-09	2.421e-01
8.500e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.147e-03	1.800e-02	2.381e-04	6.409e-09	2.421e-01
8.600e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.147e-03	1.800e-02	2.381e-04	6.409e-09	2.421e-01
8.700e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.147e-03	1.800e-02	2.381e-04	6.409e-09	2.421e-01
8.800e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.147e-03	1.800e-02	2.381e-04	6.409e-09	2.421e-01
8.900e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.147e-03	1.800e-02	2.381e-04	6.409e-09	2.421e-01
9.000e+03	1.405e-02	1.015e-02	1.853e-02	1.484e-02	9.147e-03	1.785e-02	2.381e-04	6.409e-09	2.421e-01
9.100e+03	1.405e-02	1.015e-02	1.853e-02	1.484e-02	9.147e-03	1.785e-02	2.381e-04	6.409e-09	2.421e-01
9.200e+03	1.405e-02	1.015e-02	1.853e-02	1.484e-02	9.147e-03	1.785e-02	2.381e-04	6.409e-09	2.421e-01
9.300e+03	1.405e-02	1.015e-02	1.853e-02	1.484e-02	9.147e-03	1.785e-02	2.381e-04	6.409e-09	2.421e-01
9.400e+03	1.405e-02	1.015e-02	1.853e-02	1.484e-02	9.147e-03	1.785e-02	2.381e-04	6.409e-09	2.421e-01
9.500e+03	1.405e-02	1.015e-02	1.853e-02	1.401e-02	9.147e-03	1.785e-02	2.381e-04	6.409e-09	2.421e-01
9.600e+03	1.405e-02	1.015e-02	1.853e-02	1.401e-02	9.147e-03	1.785e-02	2.381e-04	6.409e-09	2.421e-01
9.700e+03	1.405e-02	1.015e-02	1.853e-02	1.401e-02	9.147e-03	1.785e-02	2.381e-04	6.409e-09	2.421e-01
9.800e+03	1.405e-02	1.015e-02	1.853e-02	1.401e-02	9.147e-03	1.785e-02	2.381e-04	6.409e-09	2.338e-01
9.900e+03	1.405e-02	1.015e-02	1.853e-02	1.401e-02	9.147e-03	1.785e-02	2.381e-04	6.409e-09	2.421e-01
1.000e+04	1.405e-02	1.015e-02	1.853e-02	1.323e-02	9.147e-03	1.733e-02	2.381e-04	6.409e-09	2.421e-01
1.010e+04	1.405e-02	1.015e-02	1.853e-02	1.323e-02	9.147e-03	1.733e-02	2.381e-04	6.409e-09	2.421e-01
1.020e+04	1.405e-02	1.015e-02	1.853e-02	1.323e-02	9.147e-03	1.733e-02	2.381e-04	6.409e-09	2.338e-01
1.030e+04	1.405e-02	1.015e-02	1.853e-02	1.323e-02	9.147e-03	1.733e-02	2.381e-04	6.409e-09	2.421e-01
1.040e+04	1.405e-02	1.015e-02	1.853e-02	1.323e-02	9.147e-03	1.733e-02	2.381e-04	6.409e-09	2.421e-01
1.050e+04	1.405e-02	1.015e-02	1.853e-02	1.323e-02	9.147e-03	1.733e-02	2.381e-04	6.409e-09	2.421e-01
1.060e+04	1.405e-02	1.015e-02	1.853e-02	1.269e-02	9.084e-03	1.626e-02	2.381e-04	6.409e-09	2.421e-01
1.070e+04	1.405e-02	1.015e-02	1.853e-02	1.269e-02	9.084e-03	1.626e-02	4.552e-04	8.362e-09	2.421e-01
1.080e+04	1.405e-02	1.015e-02	1.853e-02	1.269e-02	9.084e-03	1.626e-02	4.552e-04	8.362e-09	2.421e-01
1.090e+04	1.405e-02	1.015e-02	1.853e-02	1.323e-02	9.084e-03	1.733e-02	4.552e-04	8.362e-09	2.421e-01
