n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
7.600e+03	1.492e-02	1.735e-03	1.795e-02	1.561e-02	1.057e-02	1.844e-02	7.346e-06	7.831e-10	1.654e-01
7.700e+03	1.492e-02	1.735e-03	1.795e-02	1.561e-02	1.059e-02	1.844e-02	7.346e-06	7.831e-10	1.654e-01
7.800e+03	1.492e-02	1.735e-03	1.795e-02	1.561e-02	1.059e-02	1.844e-02	7.346e-06	7.831e-10	1.654e-01
7.900e+03	1.492e-02	1.735e-03	1.795e-02	1.561e-02	1.059e-02	1.844e-02	7.346e-06	7.831e-10	1.654e-01
8.000e+03	1.492e-02	1.735e-03	1.795e-02	1.561e-02	1.059e-02	1.844e-02	7.346e-06	7.831e-10	1.654e-01
8.100e+03	1.492e-02	1.735e-03	1.795e-02	1.561e-02	1.059e-02	1.844e-02	7.346e-06	7.831e-10	1.893e-01
8.200e+03	1.492e-02	1.735e-03	1.795e-02	1.561e-02	1.059e-02	1.844e-02	1.033e-06	9.613e-11	1.560e-02
8.300e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.588e-07	9.613e-11	1.336e-02
8.400e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.588e-07	9.613e-11	1.336e-02
8.500e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.588e-07	9.613e-11	1.336e-02
8.600e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.588e-07	9.613e-11	1.336e-02
8.700e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.588e-07	9.613e-11	4.069e-03
8.800e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.588e-07	9.613e-11	4.069e-03
8.900e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.588e-07	9.613e-11	4.069e-03
9.000e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.033e-06	9.613e-11	4.069e-03
9.100e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.033e-06	9.613e-11	4.069e-03
9.200e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.033e-06	9.613e-11	4.069e-03
9.300e+03	1.492e-02	1.735e-03	1.795e-02	1.529e-02	1.059e-02	1.811e-02	1.033e-06	9.613e-11	4.069e-03
9.400e+03	1.492e-02	1.735e-03	1.908e-02	1.529e-02	1.059e-02	1.811e-02	1.033e-06	9.613e-11	4.069e-03
9.500e+03	1.492e-02	1.735e-03	1.908e-02	1.529e-02	1.059e-02	1.811e-02	1.033e-06	9.613e-11	4.069e-03
9.600e+03	1.492e-02	1.735e-03	1.908e-02	1.529e-02	1.059e-02	1.811e-02	1.033e-06	9.613e-11	4.069e-03
9.700e+03	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.083e-02	1.844e-02	1.033e-06	9.613e-11	4.069e-03
9.800e+03	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.083e-02	1.844e-02	1.033e-06	9.613e-11	2.086e-03
9.900e+03	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.083e-02	1.844e-02	7.346e-06	3.488e-09	1.336e-02
1.000e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.083e-02	1.844e-02	7.346e-06	3.488e-09	1.336e-02
1.010e+04	1.492e-02	1.735e-03	1.908e-02	1.529e-02	1.083e-02	1.811e-02	7.346e-06	3.488e-09	1.336e-02
1.020e+04	1.492e-02	1.735e-03	1.908e-02	1.529e-02	1.083e-02	1.811e-02	1.033e-06	3.488e-09	1.336e-02
1.030e+04	1.492e-02	1.735e-03	1.908e-02	1.529e-02	1.083e-02	1.811e-02	1.033e-06	3.488e-09	1.336e-02
1.040e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.811e-02	1.033e-06	3.488e-09	1.336e-02
1.050e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.811e-02	1.033e-06	3.488e-09	1.336e-02
1.060e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.811e-02	3.212e-07	9.613e-11	4.069e-03
1.070e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.811e-02	3.212e-07	9.613e-11	4.069e-03
1.080e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.811e-02	3.212e-07	9.613e-11	4.069e-03
1.090e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.811e-02	3.212e-07	9.613e-11	4.069e-03
1.100e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.811e-02	3.212e-07	9.613e-11	4.069e-03
