n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
7.100e+03	3.099e-01	-1.225e-02	4.535e-01	3.861e-01	2.854e-01	4.228e-01	2.583e-01	1.549e-01	6.026e-01
7.200e+03	3.099e-01	-1.225e-02	4.535e-01	3.861e-01	2.854e-01	4.228e-01	2.583e-01	1.549e-01	6.250e-01
7.300e+03	3.108e-01	1.824e-02	4.966e-01	3.861e-01	2.854e-01	4.228e-01	2.583e-01	1.549e-01	6.250e-01
7.400e+03	3.108e-01	1.824e-02	4.966e-01	3.861e-01	2.854e-01	4.228e-01	2.583e-01	1.549e-01	6.250e-01
7.500e+03	3.108e-01	1.824e-02	4.966e-01	3.861e-01	2.854e-01	4.228e-01	2.583e-01	1.549e-01	6.416e-01
7.600e+03	3.108e-01	1.824e-02	4.966e-01	3.861e-01	2.854e-01	4.228e-01	2.583e-01	1.549e-01	6.416e-01
7.700e+03	3.108e-01	1.824e-02	4.966e-01	3.644e-01	2.328e-01	4.147e-01	2.583e-01	1.549e-01	6.416e-01
7.800e+03	3.108e-01	1.824e-02	4.966e-01	3.644e-01	2.222e-01	4.147e-01	2.583e-01	1.549e-01	6.416e-01
7.900e+03	3.108e-01	1.824e-02	4.966e-01	3.644e-01	2.222e-01	4.147e-01	2.885e-01	1.563e-01	6.642e-01
8.000e+03	3.108e-01	1.824e-02	4.966e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.563e-01	6.642e-01
8.100e+03	3.108e-01	1.824e-02	4.966e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.563e-01	6.642e-01
8.200e+03	3.108e-01	1.824e-02	4.966e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.563e-01	6.416e-01
8.300e+03	3.170e-01	1.824e-02	5.090e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.563e-01	6.250e-01
8.400e+03	3.170e-01	1.824e-02	5.090e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.563e-01	6.250e-01
8.500e+03	3.170e-01	1.824e-02	5.090e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.549e-01	6.250e-01
8.600e+03	3.170e-01	1.824e-02	5.090e-01	3.548e-01	2.215e-01	4.147e-01	3.369e-01	1.563e-01	6.416e-01
8.700e+03	3.435e-01	1.824e-02	5.117e-01	3.548e-01	2.215e-01	4.147e-01	3.369e-01	1.563e-01	6.250e-01
8.800e+03	3.435e-01	1.824e-02	5.090e-01	3.548e-01	2.215e-01	4.147e-01	3.369e-01	1.563e-01	6.250e-01
8.900e+03	3.435e-01	1.824e-02	5.090e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.549e-01	6.249e-01
9.000e+03	3.435e-01	1.824e-02	5.090e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.549e-01	6.249e-01
9.100e+03	3.435e-01	1.824e-02	5.090e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.549e-01	6.249e-01
9.200e+03	3.435e-01	1.824e-02	5.090e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.563e-01	6.249e-01
9.300e+03	3.435e-01	1.824e-02	5.090e-01	3.548e-01	2.215e-01	4.147e-01	2.885e-01	1.563e-01	6.249e-01
9.400e+03	3.435e-01	1.824e-02	5.090e-01	3.323e-01	1.675e-01	4.147e-01	2.885e-01	1.563e-01	6.115e-01
9.500e+03	3.435e-01	1.824e-02	5.090e-01	3.323e-01	1.675e-01	4.147e-01	2.885e-01	1.563e-01	6.026e-01
9.600e+03	3.435e-01	1.824e-02	5.090e-01	3.323e-01	1.661e-01	4.147e-01	2.885e-01	1.563e-01	6.026e-01
9.700e+03	3.435e-01	1.824e-02	5.090e-01	3.323e-01	1.661e-01	4.147e-01	2.885e-01	1.563e-01	5.762e-01
9.800e+03	3.435e-01	1.824e-02	5.090e-01	3.323e-01	1.661e-01	4.147e-01	2.885e-01	1.563e-01	5.762e-01
9.900e+03	3.584e-01	1.824e-02	5.144e-01	3.323e-01	1.661e-01	4.147e-01	2.885e-01	1.563e-01	5.762e-01
1.000e+04	3.584e-01	1.824e-02	5.144e-01	3.323e-01	1.661e-01	4.147e-01	3.369e-01	1.634e-01	5.762e-01
1.010e+04	3.584e-01	1.824e-02	5.144e-01	3.323e-01	1.661e-01	4.147e-01	3.369e-01	1.634e-01	5.762e-01
1.020e+04	3.584e-01	1.824e-02	5.144e-01	3.323e-01	1.661e-01	4.147e-01	3.369e-01	1.634e-01	5.762e-01
1.030e+04	3.584e-01	1.824e-02	5.144e-01	3.323e-01	1.661e-01	4.147e-01	3.369e-01	1.634e-01	5.762e-01
1.040e+04	3.584e-01	1.824e-02	5.144e-01	3.323e-01	9.371e-02	4.147e-01	3.369e-01	1.634e-01	5.762e-01
1.050e+04	3.584e-01	1.824e-02	5.144e-01	3.323e-01	9.371e-02	4.147e-01	3.369e-01	1.634e-01	6.026e-01
1.060e+04	3.584e-01	1.824e-02	5.144e-01	3.323e-01	1.661e-01	4.147e-01	3.369e-01	1.634e-01	6.026e-01
1.070e+04	4.131e-01	3.782e-02	5.171e-01	3.323e-01	1.661e-01	4.147e-01	2.885e-01	1.634e-01	6.026e-01
