n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
6.400e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.701e-02	5.853e-05	5.122e-12	1.966e-02
6.500e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.701e-02	5.585e-05	5.122e-12	1.888e-02
6.600e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	5.585e-05	5.122e-12	1.888e-02
6.700e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	5.585e-05	5.122e-12	1.888e-02
6.800e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	5.585e-05	5.122e-12	1.888e-02
6.900e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	5.585e-05	5.122e-12	1.888e-02
7.000e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	5.585e-05	5.122e-12	1.888e-02
7.100e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	5.358e-05	5.122e-12	1.725e-02
7.200e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	1.598e-05	5.122e-12	1.888e-02
7.300e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	1.598e-05	5.122e-12	1.888e-02
7.400e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	1.598e-05	5.122e-12	1.888e-02
7.500e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	1.598e-05	5.122e-12	1.888e-02
7.600e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	1.598e-05	5.122e-12	1.888e-02
7.700e+03	1.148e-02	1.988e-05	1.556e-02	1.337e-02	9.781e-03	1.688e-02	1.598e-05	5.122e-12	1.888e-02
7.800e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.860e-03	1.701e-02	1.598e-05	5.122e-12	1.888e-02
7.900e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.860e-03	1.701e-02	1.457e-05	5.122e-12	1.725e-02
8.000e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	1.457e-05	5.122e-12	1.725e-02
8.100e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	1.457e-05	5.122e-12	1.725e-02
8.200e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	1.457e-05	5.122e-12	1.725e-02
8.300e+03	1.131e-02	1.988e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	1.457e-05	5.122e-12	1.888e-02
8.400e+03	1.131e-02	1.988e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	1.598e-05	5.122e-12	1.966e-02
8.500e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	1.598e-05	5.122e-12	1.966e-02
