n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.fitness	2d.nav._.hebbian.network.best.quality.fitness.min	2d.nav._.hebbian.network.best.quality.fitness.max	2d.nav._.hebbian.synapse.best.quality.fitness	2d.nav._.hebbian.synapse.best.quality.fitness.min	2d.nav._.hebbian.synapse.best.quality.fitness.max	2d.nav._.freeForm.best.quality.fitness	2d.nav._.freeForm.best.quality.fitness.min	2d.nav._.freeForm.best.quality.fitness.max
8.100e+03	5.440e+00	-3.044e+00	1.308e+01	4.714e+02	3.789e+02	4.945e+02	4.700e+01	-2.403e+00	1.150e+02
8.200e+03	5.440e+00	-3.044e+00	1.308e+01	4.714e+02	4.221e+02	4.945e+02	4.972e+01	-2.403e+00	1.150e+02
8.300e+03	5.440e+00	-3.044e+00	1.308e+01	4.714e+02	4.221e+02	4.945e+02	4.972e+01	-2.403e+00	1.150e+02
8.400e+03	5.440e+00	-3.044e+00	1.308e+01	4.714e+02	4.221e+02	4.945e+02	4.972e+01	-2.403e+00	1.150e+02
8.500e+03	5.440e+00	-3.044e+00	1.308e+01	4.714e+02	4.221e+02	4.945e+02	4.972e+01	-2.403e+00	1.150e+02
8.600e+03	5.440e+00	-3.044e+00	1.308e+01	4.714e+02	4.221e+02	4.945e+02	4.972e+01	-2.403e+00	1.150e+02
8.700e+03	5.440e+00	-2.578e+00	1.308e+01	4.714e+02	4.221e+02	4.945e+02	4.972e+01	-2.403e+00	1.150e+02
8.800e+03	5.440e+00	-2.578e+00	1.308e+01	4.741e+02	4.221e+02	4.945e+02	4.972e+01	-2.403e+00	1.150e+02
8.900e+03	5.440e+00	-2.578e+00	1.308e+01	4.741e+02	4.221e+02	4.945e+02	4.972e+01	-2.403e+00	1.150e+02
9.000e+03	5.440e+00	-2.578e+00	1.308e+01	4.784e+02	4.221e+02	4.945e+02	4.972e+01	-2.403e+00	1.150e+02
9.100e+03	7.759e+00	-2.505e+00	1.308e+01	4.784e+02	4.428e+02	4.981e+02	4.972e+01	-2.403e+00	1.150e+02
9.200e+03	7.759e+00	-2.505e+00	1.308e+01	4.784e+02	4.428e+02	4.981e+02	4.972e+01	-2.403e+00	1.150e+02
9.300e+03	7.759e+00	-2.505e+00	1.308e+01	4.784e+02	4.428e+02	4.981e+02	4.972e+01	-2.403e+00	1.150e+02
9.400e+03	7.759e+00	-2.505e+00	1.308e+01	4.794e+02	4.428e+02	4.981e+02	4.972e+01	-2.403e+00	1.151e+02
9.500e+03	7.759e+00	-2.505e+00	1.308e+01	4.794e+02	4.428e+02	4.981e+02	4.972e+01	-2.403e+00	1.151e+02
9.600e+03	7.759e+00	-2.505e+00	1.308e+01	4.794e+02	4.428e+02	4.981e+02	4.972e+01	-2.403e+00	1.151e+02
9.700e+03	7.759e+00	-2.505e+00	1.308e+01	4.794e+02	4.428e+02	4.981e+02	4.972e+01	-2.403e+00	1.151e+02
9.800e+03	7.759e+00	-2.505e+00	1.308e+01	4.794e+02	4.428e+02	4.981e+02	4.972e+01	-2.403e+00	1.151e+02
9.900e+03	7.759e+00	-2.505e+00	1.308e+01	4.795e+02	4.428e+02	4.981e+02	4.972e+01	-1.012e+00	1.151e+02
1.000e+04	7.759e+00	-2.505e+00	1.308e+01	4.795e+02	4.428e+02	4.981e+02	4.972e+01	-1.012e+00	1.151e+02
1.010e+04	7.759e+00	-2.505e+00	1.308e+01	4.804e+02	4.428e+02	4.981e+02	4.972e+01	-1.010e+00	1.151e+02
1.020e+04	7.759e+00	-2.505e+00	1.308e+01	4.804e+02	4.428e+02	4.983e+02	4.972e+01	-1.010e+00	1.160e+02
1.030e+04	7.759e+00	-2.505e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	4.972e+01	-1.010e+00	1.160e+02
1.040e+04	7.759e+00	-2.505e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	4.972e+01	-1.010e+00	1.160e+02
1.050e+04	7.759e+00	-1.985e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	4.972e+01	-1.010e+00	1.160e+02
1.060e+04	7.759e+00	-1.985e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	4.972e+01	-1.010e+00	1.160e+02
1.070e+04	7.759e+00	-1.985e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	4.972e+01	-1.010e+00	1.160e+02
