n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
5.600e+03	2.903e-01	2.504e-01	3.108e-01	1.918e-01	1.693e-01	2.528e-01	5.318e-02	1.897e-02	2.483e-01
5.700e+03	2.903e-01	2.504e-01	3.108e-01	1.918e-01	1.693e-01	2.554e-01	5.318e-02	1.897e-02	2.574e-01
5.800e+03	2.903e-01	2.504e-01	3.108e-01	1.918e-01	1.693e-01	2.554e-01	5.318e-02	1.897e-02	2.483e-01
5.900e+03	2.880e-01	2.504e-01	3.044e-01	2.002e-01	1.693e-01	2.554e-01	5.318e-02	1.897e-02	2.263e-01
6.000e+03	2.880e-01	2.496e-01	3.044e-01	1.968e-01	1.738e-01	2.554e-01	5.318e-02	1.897e-02	2.263e-01
6.100e+03	2.880e-01	2.496e-01	3.044e-01	2.082e-01	1.738e-01	2.554e-01	6.402e-02	2.372e-02	2.483e-01
6.200e+03	2.837e-01	2.495e-01	3.044e-01	2.082e-01	1.738e-01	2.554e-01	6.402e-02	2.372e-02	2.263e-01
6.300e+03	2.837e-01	2.495e-01	3.044e-01	2.082e-01	1.738e-01	2.554e-01	6.402e-02	2.372e-02	2.263e-01
6.400e+03	2.831e-01	2.495e-01	3.014e-01	2.169e-01	1.738e-01	2.554e-01	6.402e-02	2.372e-02	2.263e-01
6.500e+03	2.837e-01	2.496e-01	3.014e-01	2.169e-01	1.738e-01	2.554e-01	7.826e-02	2.372e-02	2.263e-01
6.600e+03	2.837e-01	2.496e-01	3.014e-01	2.169e-01	1.693e-01	2.554e-01	7.826e-02	2.372e-02	2.263e-01
6.700e+03	2.850e-01	2.496e-01	3.014e-01	2.082e-01	1.693e-01	2.554e-01	7.826e-02	2.372e-02	2.376e-01
6.800e+03	2.850e-01	2.496e-01	3.014e-01	2.082e-01	1.693e-01	2.554e-01	7.826e-02	2.372e-02	2.263e-01
6.900e+03	2.850e-01	2.496e-01	3.014e-01	2.082e-01	1.693e-01	2.554e-01	7.826e-02	2.372e-02	2.263e-01
7.000e+03	2.850e-01	2.496e-01	3.014e-01	1.968e-01	1.693e-01	2.571e-01	7.845e-02	2.475e-02	2.775e-01
7.100e+03	2.850e-01	2.496e-01	3.014e-01	1.968e-01	1.693e-01	2.571e-01	7.826e-02	2.475e-02	2.376e-01
7.200e+03	2.850e-01	2.496e-01	3.014e-01	2.082e-01	1.693e-01	2.571e-01	7.826e-02	2.475e-02	2.376e-01
7.300e+03	2.850e-01	2.496e-01	3.014e-01	2.082e-01	1.692e-01	2.571e-01	7.845e-02	2.475e-02	2.775e-01
7.400e+03	2.831e-01	2.496e-01	2.964e-01	2.082e-01	1.692e-01	2.571e-01	8.133e-02	3.660e-02	2.860e-01
7.500e+03	2.831e-01	2.496e-01	2.964e-01	2.082e-01	1.692e-01	2.571e-01	8.133e-02	3.660e-02	2.860e-01
7.600e+03	2.831e-01	2.496e-01	2.964e-01	2.082e-01	1.692e-01	2.571e-01	8.133e-02	3.692e-02	3.234e-01
7.700e+03	2.831e-01	2.496e-01	2.964e-01	1.932e-01	1.691e-01	2.571e-01	7.883e-02	3.223e-02	3.234e-01
7.800e+03	2.831e-01	2.496e-01	2.964e-01	1.932e-01	1.692e-01	2.571e-01	8.133e-02	3.223e-02	3.696e-01
7.900e+03	2.831e-01	2.496e-01	2.964e-01	1.932e-01	1.692e-01	2.579e-01	8.133e-02	3.223e-02	3.696e-01
8.000e+03	2.831e-01	2.502e-01	2.964e-01	2.082e-01	1.692e-01	2.579e-01	8.133e-02	3.223e-02	3.234e-01
8.100e+03	2.831e-01	2.502e-01	2.964e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.360e-01
8.200e+03	2.831e-01	2.502e-01	2.964e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.360e-01
8.300e+03	2.831e-01	2.502e-01	2.964e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.360e-01
8.400e+03	2.831e-01	2.502e-01	2.964e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.360e-01
8.500e+03	2.831e-01	2.502e-01	2.964e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.360e-01
8.600e+03	2.831e-01	2.502e-01	2.964e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.360e-01
8.700e+03	2.831e-01	2.502e-01	2.964e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.360e-01
8.800e+03	2.831e-01	2.502e-01	2.964e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.360e-01
8.900e+03	2.831e-01	2.502e-01	2.964e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.360e-01
9.000e+03	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.775e-01
9.100e+03	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.360e-01
9.200e+03	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.579e-01	7.845e-02	3.221e-02	2.775e-01
9.300e+03	2.762e-01	2.496e-01	2.939e-01	2.052e-01	1.692e-01	2.571e-01	7.845e-02	3.221e-02	2.360e-01
9.400e+03	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.571e-01	7.845e-02	3.082e-02	1.848e-01
9.500e+03	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.571e-01	7.845e-02	3.082e-02	2.396e-01
9.600e+03	2.762e-01	2.496e-01	2.939e-01	2.052e-01	1.691e-01	2.554e-01	7.845e-02	3.082e-02	2.396e-01
9.700e+03	2.762e-01	2.496e-01	2.939e-01	2.052e-01	1.691e-01	2.554e-01	7.845e-02	3.082e-02	2.396e-01
9.800e+03	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.554e-01	8.133e-02	3.082e-02	2.396e-01
9.900e+03	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.571e-01	8.133e-02	3.082e-02	2.396e-01
1.000e+04	2.762e-01	2.496e-01	2.939e-01	2.108e-01	1.692e-01	2.571e-01	8.133e-02	3.082e-02	2.396e-01
1.010e+04	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.556e-01	8.133e-02	3.082e-02	2.396e-01
1.020e+04	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.556e-01	8.183e-02	3.082e-02	2.396e-01
1.030e+04	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.556e-01	8.183e-02	3.082e-02	2.396e-01
