problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→final;best→quality→increase;best→quality→consistency
train;mlp;5;[8, 8, 8];5;900;500;5.23350e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.25338e+02;-7.28666e+01;1.16259e+02
train;mlp;9;[8, 8, 8];5;900;500;5.48290e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.36529e+02;6.81537e-01;1.27555e+02
train;mlp;4;[8, 8, 8];5;900;500;5.49370e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.11674e+02;4.74510e+00;1.64356e+01
train;mlp;6;[8, 8, 8];5;900;500;5.59060e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.45381e+02;-1.56473e+01;1.36022e+02
train;mlp;2;[8, 8, 8];5;900;500;5.81490e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.20106e+02;-5.96317e-01;6.16527e+01
train;mlp;8;[8, 8, 8];5;900;500;5.97370e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.10874e+02;3.01084e+00;-4.13497e+00
train;mlp;10;[8, 8, 8];6;1100;600;6.03860e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.46827e+02;2.95938e+01;6.96464e+01
train;mlp;1;[8, 8, 8];6;1100;600;6.08480e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.03232e+02;-3.03436e+01;6.05436e+01
train;mlp;7;[8, 8, 8];6;1100;600;6.14460e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.29797e+02;-2.94620e+01;6.55001e+01
train;mlp;3;[8, 8, 8];6;1100;600;6.32970e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.78844e+02;-5.14497e+01;5.61946e+01
