n.evals.q.1.0.	train.8.8.8.mlp.best.quality.consistency	train.8.8.8.mlp.best.quality.consistency.min	train.8.8.8.mlp.best.quality.consistency.max	train.8.8.8.hebbian.synapse.random.best.quality.consistency	train.8.8.8.hebbian.synapse.random.best.quality.consistency.min	train.8.8.8.hebbian.synapse.random.best.quality.consistency.max	train.8.8.8.hebbian.network.random.best.quality.consistency	train.8.8.8.hebbian.network.random.best.quality.consistency.min	train.8.8.8.hebbian.network.random.best.quality.consistency.max	train.8.8.8.freeForm.random.best.quality.consistency	train.8.8.8.freeForm.random.best.quality.consistency.min	train.8.8.8.freeForm.random.best.quality.consistency.max
8.900e+03	6.873e+01	9.736e+00	1.043e+02	1.157e+02	1.509e+00	1.560e+02	1.126e+02	9.106e+01	1.330e+02	5.795e+01	7.211e+00	1.361e+02
9.100e+03	1.168e+02	1.323e+01	1.477e+02	1.231e+02	3.743e-03	1.273e+02	1.104e+02	9.272e+01	1.119e+02	5.473e+01	8.253e+00	1.256e+02
9.300e+03	2.491e+01	7.494e-01	8.790e+01	1.001e+02	5.618e+01	1.289e+02	1.031e+02	9.406e+01	1.166e+02	3.148e+01	6.770e+00	6.381e+01
9.500e+03	5.951e+01	2.707e+01	1.995e+02	1.377e+02	1.290e+02	1.973e+02	8.494e+01	4.483e+01	1.138e+02	9.596e+01	1.334e+01	1.260e+02
9.700e+03	7.851e+01	-7.442e-01	1.172e+02	1.374e+02	1.276e+02	1.873e+02	9.585e+01	8.527e+01	1.198e+02	1.763e+01	6.238e+00	1.146e+02
9.900e+03	6.653e+01	1.995e+00	1.034e+02	1.330e+02	1.190e+02	1.558e+02	8.546e+01	6.190e+01	1.098e+02	6.551e+01	1.049e+01	1.346e+02
1.010e+04	1.433e+01	-2.402e+00	3.774e+01	1.485e+02	1.076e+02	1.927e+02	1.038e+02	8.652e+01	1.110e+02	2.728e+01	6.494e+00	7.012e+01
1.030e+04	2.394e+01	8.361e+00	7.913e+01	1.950e+02	1.368e+02	2.152e+02	9.053e+01	8.338e+01	9.382e+01	1.979e+01	4.748e+00	3.023e+01
1.050e+04	1.900e+01	1.077e+01	1.086e+02	1.334e+02	1.253e+02	1.738e+02	1.064e+02	8.537e+01	1.161e+02	5.379e+01	9.529e+00	1.362e+02
1.070e+04	1.065e+02	1.175e+01	1.122e+02	1.269e+02	9.574e+01	1.301e+02	1.095e+02	8.968e+01	1.151e+02	6.029e+01	1.134e+01	1.328e+02
1.090e+04	3.620e+01	7.004e+00	8.451e+01	1.303e+02	5.717e+01	1.376e+02	9.180e+01	7.165e+01	1.048e+02	1.043e+02	1.418e+01	1.373e+02
1.110e+04	8.058e+01	2.825e+01	1.095e+02	1.140e+02	1.073e+02	1.388e+02	1.107e+02	8.274e+01	1.223e+02	1.033e+02	1.249e+01	1.342e+02
1.130e+04	1.005e+02	7.484e-01	1.500e+02	1.307e+02	6.272e+01	1.380e+02	9.909e+01	6.757e+01	1.141e+02	4.853e+01	1.141e+01	1.372e+02
1.150e+04	5.748e+01	2.425e+01	8.531e+01	1.298e+02	9.952e+01	2.098e+02	1.257e+02	8.878e+01	1.347e+02	2.203e+01	1.136e+01	6.447e+01
1.170e+04	3.861e+01	7.506e+00	1.115e+02	1.249e+02	7.943e+01	1.766e+02	1.007e+02	7.820e+01	1.114e+02	5.640e+01	9.318e+00	9.578e+01
1.190e+04	9.100e+01	7.293e+00	1.457e+02	1.308e+02	1.074e+02	1.503e+02	1.083e+02	9.976e+01	1.099e+02	5.542e+01	2.310e+01	1.380e+02
1.210e+04	9.057e+01	8.769e+00	1.417e+02	1.625e+02	1.231e+02	2.072e+02	9.615e+01	6.637e+01	1.047e+02	3.103e+01	2.388e+01	6.270e+01
1.230e+04	5.974e+01	1.976e+01	7.476e+01	1.317e+02	1.188e+02	1.478e+02	9.293e+01	7.756e+01	9.838e+01	9.856e+01	1.036e+01	1.337e+02
1.250e+04	8.526e+01	1.281e+01	1.125e+02	1.297e+02	1.140e+02	1.990e+02	9.854e+01	7.256e+01	1.277e+02	5.806e+01	1.866e+01	1.344e+02
1.270e+04	3.943e+01	1.227e+01	1.038e+02	1.275e+02	8.067e+01	1.292e+02	9.602e+01	6.834e+01	1.072e+02	4.008e+01	1.132e+01	1.380e+02
1.290e+04	7.771e+01	1.081e+01	1.085e+02	1.969e+02	9.600e+01	2.100e+02	7.216e+01	5.959e+01	1.025e+02	2.916e+01	3.000e+00	1.385e+02
