n.evals.q.1.0.	train.8.8.8.mlp.best.quality.final	train.8.8.8.mlp.best.quality.final.min	train.8.8.8.mlp.best.quality.final.max	train.8.8.8.hebbian.synapse.random.best.quality.final	train.8.8.8.hebbian.synapse.random.best.quality.final.min	train.8.8.8.hebbian.synapse.random.best.quality.final.max	train.8.8.8.hebbian.network.random.best.quality.final	train.8.8.8.hebbian.network.random.best.quality.final.min	train.8.8.8.hebbian.network.random.best.quality.final.max	train.8.8.8.freeForm.random.best.quality.final	train.8.8.8.freeForm.random.best.quality.final.min	train.8.8.8.freeForm.random.best.quality.final.max
5.500e+03	2.321e+02	1.961e+02	2.524e+02	1.325e+02	1.218e+02	1.364e+02	1.147e+02	9.144e+01	1.333e+02	6.447e+01	2.786e+01	1.342e+02
5.700e+03	2.322e+02	1.976e+02	2.469e+02	1.330e+02	1.283e+02	1.352e+02	1.009e+02	7.803e+01	1.203e+02	1.218e+02	2.326e+01	1.373e+02
5.900e+03	2.332e+02	2.065e+02	2.910e+02	1.307e+02	1.035e+02	1.335e+02	9.829e+01	7.699e+01	1.262e+02	5.368e+01	1.001e+01	1.343e+02
6.100e+03	2.445e+02	2.195e+02	2.554e+02	1.298e+02	1.206e+02	1.320e+02	1.184e+02	9.763e+01	1.266e+02	1.228e+02	1.649e+01	1.359e+02
6.300e+03	2.368e+02	2.261e+02	2.405e+02	1.330e+02	1.300e+02	1.352e+02	1.014e+02	8.992e+01	1.178e+02	1.132e+02	9.982e+00	1.343e+02
6.500e+03	2.137e+02	2.033e+02	2.357e+02	1.318e+02	1.197e+02	1.338e+02	9.770e+01	9.221e+01	1.197e+02	5.305e+01	1.289e+01	1.342e+02
6.700e+03	2.818e+02	1.963e+02	3.138e+02	1.295e+02	1.195e+02	1.313e+02	1.052e+02	8.302e+01	1.170e+02	7.171e+01	1.411e+01	1.378e+02
6.900e+03	2.595e+02	2.127e+02	2.840e+02	1.332e+02	1.205e+02	1.373e+02	1.174e+02	1.115e+02	1.314e+02	6.029e+01	3.012e+01	1.340e+02
7.100e+03	2.377e+02	2.163e+02	2.671e+02	1.300e+02	1.253e+02	1.330e+02	9.089e+01	5.702e+01	1.139e+02	7.034e+01	1.163e+01	1.378e+02
7.300e+03	2.616e+02	2.282e+02	2.708e+02	1.325e+02	1.254e+02	2.090e+02	1.020e+02	8.830e+01	1.064e+02	1.341e+02	9.938e+00	1.352e+02
7.500e+03	2.518e+02	2.076e+02	2.793e+02	1.333e+02	1.320e+02	1.556e+02	9.625e+01	7.697e+01	1.175e+02	1.220e+02	1.018e+01	1.343e+02
7.700e+03	2.585e+02	2.305e+02	3.181e+02	1.380e+02	1.328e+02	2.343e+02	1.182e+02	9.435e+01	1.268e+02	1.223e+02	9.884e+00	1.350e+02
7.900e+03	2.583e+02	2.322e+02	2.838e+02	1.260e+02	2.096e+01	1.838e+02	9.776e+01	7.990e+01	1.088e+02	1.223e+02	9.717e+00	1.367e+02
8.100e+03	2.474e+02	2.259e+02	2.947e+02	1.325e+02	1.280e+02	1.472e+02	1.016e+02	1.007e+02	1.258e+02	7.906e+01	9.870e+00	1.340e+02
8.300e+03	2.453e+02	2.262e+02	3.065e+02	1.328e+02	1.230e+02	1.568e+02	1.122e+02	9.754e+01	1.191e+02	1.220e+02	2.933e+01	1.342e+02
8.500e+03	2.688e+02	2.245e+02	3.039e+02	1.330e+02	1.243e+02	2.358e+02	1.103e+02	8.704e+01	1.127e+02	1.230e+02	3.507e+01	1.352e+02
8.700e+03	2.656e+02	2.465e+02	3.187e+02	1.363e+02	1.248e+02	1.827e+02	1.106e+02	9.942e+01	1.109e+02	5.408e+01	9.888e+00	1.342e+02
8.900e+03	2.453e+02	2.335e+02	2.798e+02	1.452e+02	1.210e+02	1.847e+02	1.204e+02	1.060e+02	1.327e+02	1.230e+02	1.000e+01	1.342e+02
9.100e+03	2.478e+02	2.313e+02	2.957e+02	1.338e+02	1.223e+02	2.030e+02	1.083e+02	9.232e+01	1.110e+02	8.085e+01	9.844e+00	1.310e+02
9.300e+03	2.478e+02	2.272e+02	2.863e+02	1.330e+02	1.251e+02	1.758e+02	1.089e+02	9.822e+01	1.166e+02	6.162e+01	9.817e+00	1.342e+02
9.500e+03	2.831e+02	2.480e+02	3.189e+02	1.380e+02	1.290e+02	2.045e+02	9.408e+01	6.976e+01	1.221e+02	9.585e+01	1.346e+01	1.342e+02
9.700e+03	2.776e+02	2.500e+02	3.185e+02	1.360e+02	1.322e+02	1.873e+02	1.096e+02	8.451e+01	1.337e+02	1.126e+02	2.074e+01	1.340e+02
9.900e+03	2.489e+02	2.429e+02	2.918e+02	1.543e+02	1.294e+02	1.778e+02	1.075e+02	8.383e+01	1.101e+02	6.308e+01	1.244e+01	1.380e+02
1.010e+04	2.846e+02	2.409e+02	3.172e+02	1.913e+02	1.093e+02	2.455e+02	1.094e+02	9.725e+01	1.108e+02	6.771e+01	2.620e+01	1.340e+02
1.030e+04	3.095e+02	2.540e+02	3.326e+02	2.128e+02	1.364e+02	2.285e+02	9.285e+01	9.117e+01	1.010e+02	6.783e+01	1.836e+01	1.340e+02
1.050e+04	2.767e+02	2.471e+02	3.338e+02	1.554e+02	1.308e+02	1.893e+02	1.099e+02	9.046e+01	1.205e+02	1.235e+02	1.760e+01	1.344e+02
1.070e+04	2.625e+02	2.589e+02	3.074e+02	1.380e+02	1.283e+02	2.138e+02	1.056e+02	9.231e+01	1.227e+02	7.250e+01	9.774e+00	1.343e+02
1.090e+04	2.837e+02	2.495e+02	3.222e+02	1.580e+02	1.303e+02	2.227e+02	1.017e+02	7.730e+01	1.186e+02	1.176e+02	2.074e+01	1.373e+02
1.110e+04	3.051e+02	2.450e+02	3.152e+02	1.878e+02	1.330e+02	2.470e+02	1.165e+02	8.781e+01	1.239e+02	1.328e+02	3.458e+01	1.342e+02
1.130e+04	3.034e+02	2.672e+02	3.280e+02	1.925e+02	1.353e+02	2.495e+02	1.081e+02	7.830e+01	1.207e+02	6.304e+01	2.018e+01	1.340e+02
