n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.consistency	2d.nav._.hebbian.network.best.quality.consistency.min	2d.nav._.hebbian.network.best.quality.consistency.max	2d.nav._.hebbian.synapse.best.quality.consistency	2d.nav._.hebbian.synapse.best.quality.consistency.min	2d.nav._.hebbian.synapse.best.quality.consistency.max	2d.nav._.freeForm.best.quality.consistency	2d.nav._.freeForm.best.quality.consistency.min	2d.nav._.freeForm.best.quality.consistency.max
6.700e+03	3.309e+00	8.757e-04	9.841e+00	2.459e+00	4.273e-01	7.181e+01	9.217e-07	0.000e+00	3.178e+01
6.800e+03	3.412e+00	8.757e-04	1.526e+01	2.459e+00	4.273e-01	7.181e+01	9.217e-07	0.000e+00	3.178e+01
6.900e+03	3.412e+00	8.757e-04	1.526e+01	2.459e+00	4.273e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
7.000e+03	3.412e+00	8.757e-04	1.526e+01	2.102e+00	4.952e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
7.100e+03	3.412e+00	8.757e-04	1.526e+01	1.911e+00	4.270e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
7.200e+03	3.448e+00	8.757e-04	1.526e+01	1.911e+00	4.270e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
7.300e+03	3.448e+00	8.757e-04	1.526e+01	1.819e+00	4.260e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
7.400e+03	3.519e+00	2.012e-03	1.526e+01	1.238e+00	4.250e-01	4.719e+01	9.217e-07	0.000e+00	3.178e+01
7.500e+03	3.519e+00	2.012e-03	1.526e+01	1.238e+00	1.919e-02	1.697e+01	1.693e-04	0.000e+00	8.090e+01
7.600e+03	4.345e+00	4.845e-01	1.618e+01	1.238e+00	1.919e-02	1.697e+01	4.333e-01	0.000e+00	3.178e+01
7.700e+03	4.345e+00	2.137e+00	1.618e+01	1.238e+00	4.260e-01	1.697e+01	4.333e-01	0.000e+00	3.178e+01
7.800e+03	4.678e+00	2.704e+00	1.618e+01	1.238e+00	4.270e-01	1.697e+01	4.333e-01	0.000e+00	3.178e+01
