n.evals.q.1.0.	train.8.8.8.mlp.best.quality.increase	train.8.8.8.mlp.best.quality.increase.min	train.8.8.8.mlp.best.quality.increase.max	train.8.8.8.hebbian.synapse.random.best.quality.increase	train.8.8.8.hebbian.synapse.random.best.quality.increase.min	train.8.8.8.hebbian.synapse.random.best.quality.increase.max	train.8.8.8.hebbian.network.random.best.quality.increase	train.8.8.8.hebbian.network.random.best.quality.increase.min	train.8.8.8.hebbian.network.random.best.quality.increase.max	train.8.8.8.freeForm.random.best.quality.increase	train.8.8.8.freeForm.random.best.quality.increase.min	train.8.8.8.freeForm.random.best.quality.increase.max
1.410e+04	1.363e+00	-3.552e+01	6.606e+01	-2.705e+00	-4.252e+01	2.241e-03	1.418e+01	2.134e+00	1.913e+01	-3.238e-01	-4.683e+00	1.065e+00
1.430e+04	-4.250e+01	-7.487e+01	7.448e+00	1.422e+00	-5.205e+01	8.540e+00	5.772e-01	-1.192e+01	1.441e+01	1.188e+00	-5.990e-01	4.922e+00
1.450e+04	3.294e+01	-7.850e+01	8.625e+01	1.687e+00	-7.329e+00	3.975e+01	2.587e+00	-1.788e-01	1.921e+01	4.453e-03	-2.429e+00	5.030e-01
1.470e+04	3.368e+00	-3.325e+01	6.139e+01	1.144e+01	-1.660e+01	1.073e+02	-6.304e+00	-1.405e+01	1.178e+01	-6.150e-02	-1.011e+00	1.703e-03
1.490e+04	-3.003e+00	-4.209e+01	4.400e+01	3.655e-03	-1.136e+02	7.260e+00	-5.162e-02	-8.894e-01	1.023e+00	3.616e-02	-3.949e+00	7.527e+00
1.510e+04	-3.357e+01	-6.630e+01	2.302e+00	-7.556e-01	-1.651e+01	5.264e+00	-4.540e-01	-7.881e+00	2.374e+00	4.821e+00	-5.105e-01	8.867e+00
1.530e+04	1.776e+01	5.002e-01	4.975e+01	8.995e+00	-1.168e+02	9.553e+01	4.978e+00	-1.421e+01	1.007e+01	1.795e-03	-3.845e+00	2.604e+00
1.550e+04	8.751e+00	-2.337e+00	6.360e+01	5.254e+00	-1.929e+01	6.726e+01	8.424e+00	4.719e-01	1.140e+01	-4.072e-01	-1.994e+00	2.219e+00
1.570e+04	-5.475e+01	-1.103e+02	-1.996e+00	-1.245e+00	-1.026e+01	9.251e+01	1.248e+00	-5.936e-01	1.567e+01	-2.321e-03	-1.106e+01	5.026e+00
1.590e+04	4.000e+01	4.904e+00	1.011e+02	4.977e-01	-1.150e+02	6.097e+01	1.237e+01	4.451e-01	1.797e+01	-7.898e-02	-2.252e+00	9.904e-01
1.610e+04	-1.556e+01	-1.088e+02	3.772e+00	1.725e+01	-6.785e+00	4.851e+01	2.967e+00	-8.581e-01	1.921e+01	2.071e-03	-4.997e+00	8.833e+00
1.630e+04	-4.818e-01	-8.754e+00	1.157e+01	2.100e+01	-1.625e+01	5.844e+01	2.251e-01	-5.635e-01	1.661e+01	-5.017e-01	-2.637e+01	2.141e+00
1.650e+04	6.850e+01	-5.411e+01	9.381e+01	-5.292e+01	-1.210e+02	1.563e-01	1.701e+01	5.052e-01	1.939e+01	1.971e-03	-1.504e+00	3.338e+01
1.670e+04	6.180e+01	-1.285e+00	7.875e+01	-8.726e+00	-1.138e+02	5.416e+00	3.445e+00	-1.793e+00	1.251e+01	5.116e-01	-4.968e-01	1.278e+01
1.690e+04	-7.686e+01	-1.048e+02	-1.769e+00	-3.510e+00	-5.527e+01	1.193e+02	-2.790e-01	-2.402e+00	8.843e+00	1.521e-03	-9.949e-01	2.768e+00
1.710e+04	1.910e-01	-2.859e+01	4.995e+00	7.146e+01	-2.693e-01	1.164e+02	2.174e-01	-2.236e+00	1.754e+01	-9.080e-02	-1.352e+00	1.490e+00
1.730e+04	-2.324e+00	-8.850e+01	2.114e+00	-1.555e-01	-1.085e+02	2.132e+01	3.451e-01	-1.156e+01	4.812e+00	-2.314e-01	-4.956e+00	2.186e+00
1.750e+04	5.266e+00	-4.769e+01	1.387e+01	-9.995e+00	-1.069e+02	7.638e-01	-2.140e+00	-1.096e+01	8.040e-01	8.965e-01	-2.762e+00	9.837e+00
1.770e+04	-1.024e+00	-7.737e+01	8.930e+00	1.423e+01	-5.749e+00	2.941e+01	-5.561e-02	-1.063e+01	6.707e-01	3.177e+00	-2.103e+00	1.350e+01
1.790e+04	1.576e+01	-3.425e+01	3.700e+01	2.435e+00	-6.188e+01	7.075e+01	1.950e+00	-5.113e-01	9.993e+00	-6.439e-03	-2.614e+01	5.179e-01
1.810e+04	4.502e+01	-1.249e+01	9.756e+01	3.859e+00	-1.140e+02	7.052e+01	-7.324e-01	-9.941e+00	-3.455e-01	3.993e-03	-2.204e+00	2.670e+00
1.830e+04	9.914e-01	-4.415e+01	2.668e+01	7.496e-01	-1.839e+01	3.375e+01	4.160e+00	-1.089e+00	7.371e+00	-5.605e-02	-9.816e+00	-9.170e-04
1.850e+04	-2.502e+00	-1.010e+02	3.731e+00	-4.504e+00	-9.735e+01	-1.253e+00	3.816e-01	-7.229e+00	1.194e+01	9.991e-01	-1.784e+00	2.277e+01
1.870e+04	3.973e-01	-5.400e+01	6.121e+01	-4.245e+00	-9.975e+01	4.994e+00	2.168e+01	-8.993e+00	2.958e+01	1.343e-02	-7.582e+01	3.256e+00
1.890e+04	1.619e+01	-5.200e+01	3.276e+01	-2.793e+00	-9.983e+00	-5.111e-01	8.861e+00	1.147e+00	1.759e+01	4.017e-01	-2.632e-04	8.258e+00
1.910e+04	3.016e+00	-1.924e+01	3.625e+01	5.801e+00	-4.750e+01	3.553e+01	1.044e+01	-2.781e-01	1.765e+01	2.397e+00	-4.750e+00	2.895e+01
1.930e+04	3.998e+00	-7.412e+01	6.959e+00	-1.753e+00	-1.195e+02	2.310e+01	5.062e+00	-2.440e-01	1.541e+01	3.765e+01	1.004e+00	8.175e+01
1.950e+04	-1.314e+00	-5.198e+01	1.350e+01	-9.757e+00	-1.132e+02	-9.924e-01	1.090e+00	-1.646e-04	1.630e+01	5.226e-01	-4.516e-01	1.301e+00
1.970e+04	1.275e+01	-2.753e+00	6.351e+01	1.250e+01	-4.027e+01	1.105e+02	9.377e-01	-6.523e+00	1.463e+01	1.797e-01	-1.501e+00	4.310e-01
1.990e+04	5.897e+00	-3.906e+01	5.126e+01	-1.149e+01	-9.574e+01	1.035e+02	3.527e-02	-4.241e+00	1.141e+00	8.288e-03	-6.447e+00	1.488e+01
2.010e+04	7.715e+01	-3.245e+00	1.048e+02	-2.246e+00	-7.170e+01	3.270e+00	2.864e-02	-7.908e+00	2.305e+01	-9.985e-01	-2.151e+00	1.749e-04
2.030e+04	6.007e+00	-1.040e+02	1.107e+02	-5.760e+00	-9.927e+01	3.276e+01	1.907e+01	-1.570e-01	2.261e+01	1.281e+00	-4.952e-01	4.759e+00
2.050e+04	-1.249e+01	-3.279e+01	1.515e+01	-2.499e-01	-7.351e+01	2.251e+01	4.247e+00	9.173e-03	5.829e+00	4.982e-01	-1.261e+00	8.463e+00
