n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.470e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	2.835e-01	8.788e-01
1.490e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.835e-01	9.999e-01
1.510e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	3.658e-01	2.500e-01	8.156e-01
1.530e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	3.657e-01	2.750e-01	8.746e-01
1.550e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	3.000e-01	1.000e+00
1.570e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.835e-01	1.000e+00
1.590e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	2.835e-01	1.000e+00
1.610e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	3.000e-01	1.000e+00
1.630e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.717e-01	2.835e-01	9.999e-01
1.650e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	2.500e-01	1.000e+00
1.670e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.835e-01	1.000e+00
1.690e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.500e-01	1.000e+00
1.710e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	2.500e-01	9.500e-01
1.730e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.707e-01	2.835e-01	1.000e+00
1.750e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.835e-01	9.517e-01
1.770e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.717e-01	2.835e-01	9.500e-01
1.790e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	2.645e-01	9.505e-01
1.810e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.835e-01	1.000e+00
1.830e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.835e-01	1.000e+00
1.850e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.708e-01	2.835e-01	9.796e-01
1.870e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	9.999e-01	1.000e+00	4.500e-01	2.835e-01	1.000e+00
1.890e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.500e-01	1.000e+00
1.910e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	3.000e-01	1.000e+00
1.930e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.707e-01	2.835e-01	1.000e+00
1.950e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	9.995e-01	1.000e+00	4.689e-01	3.000e-01	1.000e+00
1.970e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	3.000e-01	1.000e+00
1.990e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	3.000e-01	1.000e+00
2.010e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.003e-01	3.000e-01	1.000e+00
2.030e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.500e-01	1.000e+00
2.050e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.500e-01	1.000e+00
2.070e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	3.656e-01	2.500e-01	1.000e+00
2.090e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.811e-01	2.835e-01	1.000e+00
2.110e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.835e-01	9.991e-01
2.130e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.835e-01	1.000e+00
2.150e+04	4.000e-01	3.470e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.707e-01	2.835e-01	1.000e+00
2.170e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.726e-01	2.835e-01	1.000e+00
2.190e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.268e-01	2.835e-01	9.500e-01
2.210e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.726e-01	2.835e-01	1.000e+00
2.230e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.500e-01	1.000e+00
