n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
9.700e+03	5.000e-01	2.507e-01	5.000e-01	9.988e-01	9.865e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
9.900e+03	5.000e-01	2.507e-01	5.000e-01	9.979e-01	9.520e-01	9.996e-01	5.000e-01	5.000e-01	1.000e+00
1.010e+04	5.000e-01	2.507e-01	5.000e-01	9.986e-01	9.440e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.030e+04	5.000e-01	2.507e-01	5.000e-01	9.987e-01	9.703e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.050e+04	5.000e-01	2.507e-01	5.000e-01	9.938e-01	9.385e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.070e+04	5.000e-01	2.507e-01	5.000e-01	9.978e-01	9.690e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.090e+04	5.000e-01	2.507e-01	5.000e-01	9.996e-01	9.940e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.110e+04	5.000e-01	2.507e-01	5.000e-01	9.996e-01	9.516e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.130e+04	5.000e-01	2.507e-01	5.000e-01	9.993e-01	9.747e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.150e+04	5.000e-01	2.507e-01	5.000e-01	1.000e+00	9.640e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.170e+04	5.000e-01	2.507e-01	5.000e-01	9.982e-01	9.664e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.190e+04	5.000e-01	2.507e-01	5.000e-01	9.992e-01	9.845e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.210e+04	5.000e-01	2.507e-01	5.000e-01	9.998e-01	9.393e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.230e+04	5.000e-01	2.507e-01	5.000e-01	9.973e-01	9.652e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.250e+04	5.000e-01	2.507e-01	5.000e-01	9.991e-01	9.905e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
