n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.170e+04	2.446e-11	2.501e-13	1.220e-02	1.152e-03	3.858e-05	1.009e-02	1.662e-01	1.848e-07	4.048e-01
1.190e+04	8.041e-10	5.757e-15	1.372e-02	3.556e-04	1.970e-06	2.389e-03	1.662e-01	2.604e-08	4.048e-01
1.210e+04	3.860e-10	6.634e-12	1.372e-02	2.226e-04	1.892e-06	8.578e-03	1.662e-01	1.039e-06	4.048e-01
1.230e+04	6.686e-10	8.774e-14	1.372e-02	1.585e-03	3.236e-06	5.180e-03	1.662e-01	5.742e-08	4.074e-01
1.250e+04	1.185e-09	0.000e+00	1.220e-02	2.509e-04	4.388e-06	1.931e-03	1.662e-01	1.635e-07	4.048e-01
1.270e+04	1.423e-11	7.297e-15	1.107e-02	6.197e-04	9.205e-07	4.067e-03	2.165e-01	1.733e-07	4.048e-01
1.290e+04	6.591e-08	1.683e-14	1.220e-02	1.013e-03	3.138e-05	7.354e-03	2.165e-01	6.142e-08	4.048e-01
1.310e+04	3.828e-11	0.000e+00	1.220e-02	1.964e-04	1.508e-06	1.256e-03	2.165e-01	9.763e-08	4.048e-01
1.330e+04	8.843e-09	0.000e+00	1.220e-02	2.184e-04	1.268e-05	6.291e-04	2.165e-01	5.742e-08	4.048e-01
1.350e+04	9.586e-12	0.000e+00	1.372e-02	1.992e-04	9.767e-06	2.082e-03	2.165e-01	5.182e-08	4.074e-01
1.370e+04	3.051e-09	0.000e+00	1.372e-02	3.920e-05	3.126e-07	1.901e-03	2.165e-01	5.185e-08	4.048e-01
1.390e+04	1.535e-08	0.000e+00	1.372e-02	3.271e-04	5.618e-06	5.621e-03	2.165e-01	1.839e-07	4.048e-01
1.410e+04	1.496e-11	0.000e+00	1.279e-02	2.795e-05	1.449e-06	1.024e-03	2.500e-01	5.139e-07	4.048e-01
1.430e+04	1.012e-10	0.000e+00	1.279e-02	7.001e-05	5.729e-07	2.195e-03	2.165e-01	5.079e-08	4.048e-01
1.450e+04	1.655e-10	5.464e-17	1.279e-02	6.463e-05	1.730e-06	6.822e-04	2.165e-01	4.966e-08	4.048e-01
1.470e+04	1.514e-11	0.000e+00	1.279e-02	1.880e-05	1.063e-07	2.795e-03	2.165e-01	1.791e-07	4.048e-01
1.490e+04	6.871e-11	1.951e-12	1.279e-02	1.638e-05	5.219e-08	8.716e-04	2.165e-01	4.235e-08	4.074e-01
1.510e+04	3.035e-09	1.098e-15	1.279e-02	4.875e-05	1.492e-06	6.451e-04	2.007e-01	1.136e-06	4.074e-01
1.530e+04	1.603e-11	0.000e+00	1.279e-02	2.550e-05	1.382e-06	1.087e-03	2.165e-01	1.729e-07	4.074e-01
1.550e+04	1.848e-10	0.000e+00	1.372e-02	4.563e-05	2.451e-07	1.134e-03	2.165e-01	5.113e-08	4.074e-01
1.570e+04	3.721e-11	0.000e+00	1.372e-02	1.266e-04	3.383e-06	1.502e-03	2.165e-01	5.161e-08	4.048e-01
1.590e+04	2.795e-11	0.000e+00	1.372e-02	1.208e-04	1.475e-06	1.563e-03	2.165e-01	6.142e-08	4.048e-01
1.610e+04	8.234e-12	0.000e+00	1.372e-02	1.188e-05	2.168e-07	4.010e-04	2.165e-01	3.198e-08	4.048e-01
1.630e+04	2.032e-11	0.000e+00	1.372e-02	1.420e-04	2.167e-06	2.590e-03	2.165e-01	1.138e-06	4.048e-01
1.650e+04	1.093e-09	7.894e-12	1.534e-02	9.566e-05	1.550e-06	8.571e-04	2.165e-01	9.763e-08	4.048e-01
1.670e+04	1.632e-11	0.000e+00	9.293e-03	1.754e-05	5.176e-08	5.058e-04	2.179e-01	3.765e-08	4.074e-01
1.690e+04	6.843e-11	0.000e+00	9.293e-03	8.276e-06	8.743e-08	3.594e-04	2.165e-01	3.100e-08	4.074e-01
1.710e+04	2.074e-11	0.000e+00	9.293e-03	9.637e-05	1.959e-06	1.831e-03	2.163e-01	2.654e-08	4.074e-01
1.730e+04	1.331e-11	0.000e+00	9.293e-03	4.241e-06	5.078e-09	1.843e-03	2.165e-01	1.558e-07	4.074e-01
1.750e+04	2.050e-12	0.000e+00	9.293e-03	2.366e-05	2.198e-07	2.019e-03	2.165e-01	2.749e-08	4.074e-01
1.770e+04	2.236e-11	0.000e+00	9.293e-03	1.743e-05	5.554e-07	2.638e-03	2.165e-01	1.521e-07	4.048e-01
1.790e+04	6.957e-10	3.681e-12	9.293e-03	6.400e-05	2.222e-06	3.454e-03	2.165e-01	2.707e-08	4.048e-01
1.810e+04	2.169e-09	3.174e-13	9.293e-03	4.878e-05	1.206e-06	6.540e-04	2.165e-01	3.621e-08	4.048e-01
1.830e+04	5.689e-14	0.000e+00	9.293e-03	3.961e-04	3.624e-07	6.781e-03	2.165e-01	2.680e-08	4.048e-01
1.850e+04	1.577e-11	0.000e+00	9.293e-03	2.071e-05	9.780e-07	1.710e-04	2.156e-01	2.604e-08	4.048e-01
1.870e+04	9.137e-12	0.000e+00	9.293e-03	3.062e-05	6.741e-08	3.530e-03	1.654e-01	5.024e-08	4.048e-01
1.890e+04	1.143e-08	1.034e-14	9.293e-03	2.605e-05	1.601e-07	1.051e-03	2.165e-01	3.675e-09	4.048e-01
1.910e+04	1.724e-11	0.000e+00	9.293e-03	1.049e-05	1.762e-07	5.880e-04	1.654e-01	2.604e-08	4.048e-01
1.930e+04	1.814e-10	0.000e+00	9.293e-03	1.700e-04	1.394e-06	1.897e-03	1.654e-01	2.683e-08	4.048e-01
