n.evals.q.1.0.	xor._.hebbian.network.best.quality.avgLastBoolScore	xor._.hebbian.network.best.quality.avgLastBoolScore.min	xor._.hebbian.network.best.quality.avgLastBoolScore.max	xor._.hebbian.synapse.best.quality.avgLastBoolScore	xor._.hebbian.synapse.best.quality.avgLastBoolScore.min	xor._.hebbian.synapse.best.quality.avgLastBoolScore.max	xor._.freeForm.best.quality.avgLastBoolScore	xor._.freeForm.best.quality.avgLastBoolScore.min	xor._.freeForm.best.quality.avgLastBoolScore.max
1.030e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.050e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.070e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.090e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.110e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.130e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.150e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.170e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.190e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.210e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.230e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.250e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.270e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.290e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.310e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.330e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.350e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
