n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
1.310e+04	3.109e-01	2.755e-01	3.376e-01	9.482e-01	9.069e-01	1.013e+00	4.524e-01	2.785e-01	6.265e-01
1.330e+04	3.094e-01	2.700e-01	3.571e-01	9.826e-01	9.337e-01	9.990e-01	6.182e-01	3.250e-01	8.488e-01
1.350e+04	3.091e-01	2.852e-01	3.238e-01	9.590e-01	9.049e-01	9.856e-01	6.265e-01	2.785e-01	8.750e-01
1.370e+04	3.109e-01	2.637e-01	3.876e-01	9.616e-01	9.200e-01	9.950e-01	5.750e-01	3.264e-01	6.849e-01
1.390e+04	3.153e-01	2.878e-01	3.512e-01	9.522e-01	9.159e-01	9.889e-01	6.173e-01	2.785e-01	8.534e-01
1.410e+04	3.104e-01	2.932e-01	3.258e-01	9.700e-01	9.229e-01	1.006e+00	5.750e-01	3.250e-01	8.448e-01
1.430e+04	3.109e-01	2.901e-01	3.548e-01	9.756e-01	9.128e-01	1.001e+00	5.641e-01	2.785e-01	6.693e-01
1.450e+04	3.104e-01	2.923e-01	3.403e-01	9.680e-01	9.342e-01	9.957e-01	6.015e-01	3.250e-01	7.098e-01
1.470e+04	3.094e-01	2.892e-01	3.266e-01	9.686e-01	8.953e-01	9.915e-01	5.750e-01	2.898e-01	8.031e-01
1.490e+04	3.104e-01	2.979e-01	3.579e-01	9.474e-01	9.094e-01	1.003e+00	6.012e-01	2.785e-01	6.693e-01
1.510e+04	3.104e-01	2.918e-01	3.471e-01	9.489e-01	9.270e-01	1.027e+00	5.750e-01	2.785e-01	6.452e-01
1.530e+04	3.094e-01	2.673e-01	3.227e-01	9.534e-01	9.141e-01	1.001e+00	5.750e-01	3.412e-01	6.603e-01
1.550e+04	3.094e-01	2.769e-01	3.248e-01	9.677e-01	8.989e-01	9.927e-01	5.750e-01	2.494e-01	8.028e-01
1.570e+04	2.991e-01	2.767e-01	3.212e-01	9.773e-01	9.153e-01	1.005e+00	6.250e-01	3.299e-01	7.000e-01
1.590e+04	3.079e-01	2.634e-01	3.227e-01	9.675e-01	9.424e-01	1.021e+00	6.250e-01	3.508e-01	8.028e-01
1.610e+04	3.094e-01	2.529e-01	3.227e-01	9.648e-01	9.208e-01	9.924e-01	5.069e-01	2.500e-01	6.280e-01
1.630e+04	3.159e-01	2.787e-01	3.451e-01	9.527e-01	8.926e-01	9.821e-01	5.750e-01	2.667e-01	6.467e-01
1.650e+04	3.159e-01	2.947e-01	3.509e-01	9.558e-01	9.214e-01	1.008e+00	6.250e-01	3.541e-01	6.279e-01
1.670e+04	3.171e-01	3.005e-01	3.427e-01	9.566e-01	9.360e-01	9.911e-01	4.572e-01	2.049e-01	6.265e-01
1.690e+04	3.158e-01	3.022e-01	3.407e-01	9.655e-01	9.338e-01	1.010e+00	5.750e-01	2.309e-01	6.265e-01
1.710e+04	3.113e-01	3.022e-01	3.418e-01	9.649e-01	9.117e-01	1.003e+00	6.172e-01	3.250e-01	7.785e-01
1.730e+04	3.091e-01	2.615e-01	3.200e-01	9.706e-01	8.909e-01	1.027e+00	6.250e-01	3.250e-01	8.312e-01
1.750e+04	3.071e-01	2.633e-01	3.198e-01	9.588e-01	9.193e-01	1.004e+00	5.750e-01	2.898e-01	6.446e-01
1.770e+04	3.094e-01	2.693e-01	3.477e-01	9.722e-01	8.639e-01	9.974e-01	5.201e-01	2.554e-01	6.265e-01
1.790e+04	3.137e-01	3.017e-01	3.639e-01	9.798e-01	9.237e-01	9.943e-01	6.025e-01	2.250e-01	8.750e-01
1.810e+04	3.094e-01	2.931e-01	3.475e-01	9.585e-01	9.081e-01	1.000e+00	6.250e-01	2.049e-01	8.750e-01
1.830e+04	2.996e-01	2.696e-01	3.144e-01	9.764e-01	8.762e-01	1.005e+00	6.250e-01	2.646e-01	8.750e-01
1.850e+04	3.022e-01	2.695e-01	3.159e-01	9.453e-01	9.222e-01	9.977e-01	5.979e-01	2.646e-01	7.140e-01
1.870e+04	2.996e-01	2.594e-01	3.159e-01	9.427e-01	8.899e-01	9.857e-01	6.250e-01	2.250e-01	8.861e-01
1.890e+04	3.043e-01	2.548e-01	3.402e-01	9.495e-01	8.979e-01	1.001e+00	6.250e-01	2.785e-01	8.750e-01
1.910e+04	3.062e-01	2.724e-01	3.409e-01	9.713e-01	9.246e-01	1.006e+00	4.067e-01	2.250e-01	6.455e-01
1.930e+04	3.043e-01	2.688e-01	3.555e-01	9.731e-01	9.057e-01	1.003e+00	5.069e-01	2.554e-01	6.787e-01
1.950e+04	3.084e-01	2.636e-01	3.407e-01	9.478e-01	9.218e-01	9.851e-01	6.175e-01	2.500e-01	6.693e-01
1.970e+04	3.043e-01	2.682e-01	3.299e-01	9.614e-01	9.296e-01	1.017e+00	3.987e-01	2.049e-01	7.425e-01
1.990e+04	3.022e-01	2.672e-01	3.377e-01	9.689e-01	9.117e-01	1.017e+00	6.105e-01	2.554e-01	8.736e-01
2.010e+04	3.040e-01	2.678e-01	3.213e-01	9.409e-01	8.868e-01	9.962e-01	6.162e-01	2.785e-01	8.257e-01
2.030e+04	3.022e-01	2.679e-01	3.330e-01	9.614e-01	9.160e-01	1.017e+00	5.069e-01	2.049e-01	6.382e-01
2.050e+04	3.022e-01	2.432e-01	3.293e-01	9.688e-01	9.025e-01	9.884e-01	5.750e-01	2.250e-01	6.265e-01
2.070e+04	3.110e-01	2.891e-01	3.551e-01	9.501e-01	9.110e-01	9.877e-01	4.549e-01	1.695e-01	6.382e-01
2.090e+04	3.084e-01	2.732e-01	3.358e-01	9.623e-01	9.037e-01	1.000e+00	6.250e-01	2.785e-01	7.092e-01
2.110e+04	3.084e-01	2.707e-01	3.352e-01	9.751e-01	9.288e-01	1.031e+00	3.944e-01	2.049e-01	6.251e-01
2.130e+04	3.043e-01	2.823e-01	3.303e-01	9.535e-01	9.146e-01	1.007e+00	6.107e-01	3.334e-01	6.301e-01
