n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.430e+04	8.452e-02	3.127e-02	2.117e-01	2.782e-01	1.457e-02	5.523e-01	6.000e-01	9.908e-02	9.636e-01
1.440e+04	8.286e-02	2.777e-02	2.037e-01	3.273e-01	3.311e-02	5.521e-01	6.000e-01	9.998e-02	9.985e-01
1.450e+04	9.777e-02	2.906e-02	2.165e-01	3.156e-01	3.351e-02	5.521e-01	6.000e-01	1.000e-01	9.422e-01
1.460e+04	8.462e-02	2.446e-02	1.979e-01	3.179e-01	3.173e-02	5.522e-01	5.290e-01	9.908e-02	9.026e-01
1.470e+04	8.999e-02	3.552e-02	2.003e-01	3.090e-01	3.136e-02	5.522e-01	6.000e-01	9.986e-02	9.673e-01
1.480e+04	1.037e-01	3.511e-02	1.990e-01	3.067e-01	4.447e-02	5.521e-01	5.306e-01	9.554e-02	9.808e-01
1.490e+04	8.824e-02	3.227e-02	2.124e-01	2.762e-01	3.162e-02	5.523e-01	6.000e-01	9.998e-02	9.390e-01
1.500e+04	8.419e-02	4.633e-02	1.818e-01	3.661e-01	4.453e-02	5.918e-01	5.873e-01	9.998e-02	9.971e-01
1.510e+04	8.968e-02	3.961e-02	1.980e-01	3.658e-01	4.463e-02	5.948e-01	5.909e-01	9.998e-02	9.417e-01
1.520e+04	7.129e-02	3.010e-02	1.845e-01	3.125e-01	2.925e-02	6.087e-01	5.160e-01	7.826e-02	9.300e-01
1.530e+04	8.556e-02	3.100e-02	1.957e-01	3.504e-01	3.521e-02	6.133e-01	5.059e-01	9.908e-02	9.282e-01
1.540e+04	8.602e-02	1.754e-02	1.958e-01	3.848e-01	2.993e-02	5.977e-01	6.000e-01	9.481e-02	9.403e-01
1.550e+04	8.909e-02	2.814e-02	1.791e-01	3.091e-01	1.722e-02	6.057e-01	5.525e-01	9.908e-02	9.285e-01
