n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.000e+04	3.096e-01	-1.000e-01	4.000e-01	5.440e-01	4.204e-01	6.463e-01	9.173e-01	2.351e-01	1.000e+00
1.010e+04	2.587e-01	-2.088e-01	4.000e-01	4.971e-01	3.459e-01	6.494e-01	9.500e-01	3.620e-01	1.000e+00
1.020e+04	2.524e-01	-1.778e-01	3.790e-01	5.646e-01	4.193e-01	6.815e-01	8.500e-01	2.002e-01	1.000e+00
1.030e+04	3.237e-01	-4.959e-02	4.000e-01	4.849e-01	3.354e-01	6.445e-01	9.500e-01	2.002e-01	1.000e+00
1.040e+04	1.892e-01	-2.085e-01	3.518e-01	4.822e-01	3.369e-01	6.336e-01	8.500e-01	2.479e-01	1.000e+00
1.050e+04	3.242e-01	-1.270e-01	5.000e-01	5.169e-01	3.508e-01	6.460e-01	9.991e-01	3.239e-01	1.000e+00
1.060e+04	2.587e-01	-1.271e-01	4.000e-01	4.712e-01	3.525e-01	6.302e-01	9.500e-01	2.725e-01	1.000e+00
1.070e+04	2.586e-01	-1.592e-01	4.000e-01	5.172e-01	3.688e-01	6.545e-01	9.500e-01	2.002e-01	1.000e+00
1.080e+04	1.567e-01	-1.600e-01	3.553e-01	4.852e-01	3.179e-01	6.424e-01	9.500e-01	2.452e-01	1.000e+00
1.090e+04	2.524e-01	-1.852e-01	4.000e-01	4.909e-01	3.400e-01	6.322e-01	9.886e-01	2.522e-01	1.000e+00
1.100e+04	2.524e-01	-1.484e-01	4.000e-01	4.932e-01	3.463e-01	6.935e-01	9.500e-01	1.814e-01	1.000e+00
1.110e+04	3.217e-01	-1.293e-01	4.000e-01	5.570e-01	3.934e-01	6.973e-01	8.782e-01	3.238e-01	1.000e+00
1.120e+04	2.649e-01	-1.575e-01	4.000e-01	5.174e-01	3.474e-01	6.570e-01	5.978e-01	9.981e-02	1.000e+00
1.130e+04	3.240e-01	-1.570e-01	4.000e-01	5.538e-01	3.989e-01	7.056e-01	9.500e-01	5.305e-02	1.000e+00
1.140e+04	1.758e-01	-2.814e-01	4.000e-01	5.094e-01	3.505e-01	6.493e-01	8.969e-01	3.010e-01	1.000e+00
1.150e+04	2.649e-01	-1.803e-01	4.000e-01	4.984e-01	3.053e-01	6.151e-01	8.750e-01	2.002e-01	1.000e+00
1.160e+04	2.587e-01	-2.327e-01	4.000e-01	5.169e-01	3.615e-01	6.858e-01	9.500e-01	2.660e-01	1.000e+00
1.170e+04	2.649e-01	-1.576e-01	4.000e-01	4.870e-01	3.347e-01	6.423e-01	9.500e-01	4.203e-01	1.000e+00
1.180e+04	2.649e-01	-1.590e-01	4.000e-01	5.171e-01	3.517e-01	6.492e-01	9.500e-01	2.002e-01	1.000e+00
1.190e+04	3.201e-01	-1.557e-01	4.000e-01	5.170e-01	3.640e-01	6.534e-01	8.750e-01	2.001e-01	1.000e+00
1.200e+04	3.243e-01	-1.255e-01	4.971e-01	5.060e-01	3.153e-01	6.461e-01	8.750e-01	2.438e-01	1.000e+00
1.210e+04	2.649e-01	-1.583e-01	4.000e-01	5.170e-01	4.043e-01	6.736e-01	8.750e-01	2.174e-01	1.000e+00
1.220e+04	3.570e-01	-1.302e-01	5.000e-01	5.040e-01	3.348e-01	6.493e-01	8.750e-01	2.002e-01	1.000e+00
1.230e+04	3.566e-01	2.591e-03	5.000e-01	5.495e-01	3.848e-01	7.125e-01	9.022e-01	1.688e-01	1.000e+00
1.240e+04	3.762e-01	5.000e-02	5.000e-01	5.610e-01	4.118e-01	7.182e-01	8.750e-01	2.475e-01	1.000e+00
1.250e+04	3.242e-01	-1.593e-01	5.000e-01	5.482e-01	4.200e-01	7.039e-01	9.991e-01	2.265e-01	1.000e+00
1.260e+04	3.562e-01	-1.287e-01	5.000e-01	5.171e-01	3.615e-01	6.848e-01	9.500e-01	2.002e-01	1.000e+00
1.270e+04	3.246e-01	-1.537e-01	4.000e-01	5.169e-01	3.682e-01	7.183e-01	9.991e-01	4.064e-01	1.000e+00
1.280e+04	3.484e-01	5.006e-02	5.000e-01	5.004e-01	3.159e-01	6.399e-01	9.500e-01	2.662e-01	1.000e+00
1.290e+04	2.930e-01	-1.880e-01	4.000e-01	5.169e-01	3.658e-01	6.458e-01	9.500e-01	3.010e-01	1.000e+00
1.300e+04	2.649e-01	-1.835e-01	4.000e-01	4.901e-01	3.111e-01	6.450e-01	9.500e-01	3.152e-01	1.000e+00
1.310e+04	3.244e-01	3.084e-03	5.000e-01	5.022e-01	2.493e-01	6.418e-01	9.500e-01	3.534e-01	1.000e+00
1.320e+04	3.243e-01	-1.584e-01	4.000e-01	4.982e-01	3.476e-01	6.439e-01	9.500e-01	2.222e-01	1.000e+00
1.330e+04	3.281e-01	-1.333e-01	5.000e-01	5.052e-01	3.419e-01	7.249e-01	1.000e+00	2.568e-01	1.000e+00
1.340e+04	2.649e-01	-1.278e-01	5.000e-01	5.034e-01	3.364e-01	6.442e-01	9.991e-01	3.381e-01	1.000e+00
1.350e+04	2.649e-01	-1.815e-01	4.000e-01	5.055e-01	3.240e-01	6.741e-01	9.500e-01	1.339e-01	1.000e+00
1.360e+04	3.241e-01	-1.258e-01	4.000e-01	4.880e-01	2.633e-01	6.423e-01	8.750e-01	1.922e-01	1.000e+00
1.370e+04	2.587e-01	-2.076e-01	4.000e-01	5.168e-01	3.588e-01	6.567e-01	9.500e-01	2.238e-01	1.000e+00
1.380e+04	3.794e-01	1.937e-03	5.000e-01	4.966e-01	2.657e-01	6.639e-01	9.500e-01	2.161e-01	1.000e+00
