n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.increase	2d.nav._.hebbian.network.best.quality.increase.min	2d.nav._.hebbian.network.best.quality.increase.max	2d.nav._.hebbian.synapse.best.quality.increase	2d.nav._.hebbian.synapse.best.quality.increase.min	2d.nav._.hebbian.synapse.best.quality.increase.max	2d.nav._.freeForm.best.quality.increase	2d.nav._.freeForm.best.quality.increase.min	2d.nav._.freeForm.best.quality.increase.max
5.400e+03	1.558e+00	7.851e-02	1.275e+01	4.363e+02	3.277e+02	4.751e+02	1.326e+00	5.137e-08	5.889e+01
5.500e+03	1.558e+00	7.851e-02	1.275e+01	4.411e+02	3.277e+02	4.751e+02	1.326e+00	0.000e+00	5.889e+01
5.600e+03	1.558e+00	1.396e-02	1.275e+01	4.411e+02	3.277e+02	4.751e+02	1.326e+00	0.000e+00	5.889e+01
5.700e+03	1.558e+00	1.396e-02	1.275e+01	4.411e+02	3.277e+02	4.751e+02	4.069e+00	0.000e+00	5.889e+01
5.800e+03	1.558e+00	6.973e-02	1.275e+01	4.536e+02	3.277e+02	4.809e+02	4.069e+00	0.000e+00	5.889e+01
5.900e+03	1.558e+00	3.273e-02	1.275e+01	4.509e+02	3.277e+02	4.809e+02	4.069e+00	0.000e+00	5.889e+01
6.000e+03	1.592e+00	8.904e-02	1.275e+01	4.509e+02	3.277e+02	4.809e+02	1.326e+00	0.000e+00	8.697e+01
6.100e+03	1.592e+00	1.241e-01	1.275e+01	4.363e+02	3.277e+02	4.809e+02	4.069e+00	0.000e+00	8.697e+01
6.200e+03	2.287e+00	2.407e-01	1.953e+01	4.363e+02	3.324e+02	4.809e+02	1.326e+00	0.000e+00	8.697e+01
6.300e+03	2.287e+00	2.337e-01	1.953e+01	4.363e+02	3.324e+02	4.824e+02	4.069e+00	0.000e+00	8.731e+01
6.400e+03	2.291e+00	2.337e-01	1.953e+01	4.340e+02	3.324e+02	4.751e+02	4.069e+00	0.000e+00	8.697e+01
6.500e+03	2.291e+00	2.337e-01	1.953e+01	4.340e+02	3.324e+02	4.873e+02	1.326e+00	0.000e+00	8.731e+01
6.600e+03	2.291e+00	2.337e-01	1.953e+01	4.363e+02	3.324e+02	4.873e+02	1.326e+00	0.000e+00	8.731e+01
6.700e+03	2.291e+00	2.337e-01	1.953e+01	4.363e+02	3.324e+02	4.875e+02	1.326e+00	0.000e+00	8.731e+01
6.800e+03	2.291e+00	2.337e-01	1.953e+01	4.363e+02	3.324e+02	4.875e+02	1.326e+00	0.000e+00	8.731e+01
6.900e+03	2.291e+00	2.337e-01	1.953e+01	4.363e+02	3.341e+02	4.875e+02	1.326e+00	0.000e+00	8.731e+01
7.000e+03	2.291e+00	2.337e-01	2.102e+01	4.363e+02	3.341e+02	4.875e+02	1.326e+00	0.000e+00	8.731e+01
7.100e+03	2.291e+00	2.337e-01	2.102e+01	4.323e+02	3.359e+02	4.875e+02	1.326e+00	0.000e+00	8.731e+01
7.200e+03	2.401e+00	2.337e-01	2.102e+01	4.323e+02	3.359e+02	4.875e+02	4.069e+00	0.000e+00	8.731e+01
7.300e+03	2.401e+00	2.337e-01	2.102e+01	4.363e+02	3.580e+02	4.875e+02	4.069e+00	0.000e+00	8.731e+01
7.400e+03	4.221e+00	2.337e-01	2.102e+01	4.625e+02	3.719e+02	4.890e+02	1.326e+00	0.000e+00	8.731e+01
7.500e+03	4.221e+00	2.337e-01	2.102e+01	4.669e+02	3.719e+02	4.890e+02	4.069e+00	0.000e+00	8.731e+01
7.600e+03	4.732e+00	7.033e-01	2.102e+01	4.669e+02	3.719e+02	4.890e+02	4.069e+00	0.000e+00	5.889e+01
