problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→fitness;best→quality→increase;best→quality→consistency
2d-nav;hebbian-synapse;13;[2, 2];250;25000;25000;2.82110e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;4.93496e+02;4.96342e+02;1.34462e-02
2d-nav;hebbian-synapse;15;[2, 2];250;25000;25000;2.82067e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;4.92391e+02;4.96699e+02;3.90847e-02
2d-nav;hebbian-synapse;14;[2, 2];250;25000;25000;2.82136e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;5.07717e+02;5.11018e+02;8.86957e-03
2d-nav;hebbian-synapse;17;[2, 2];250;25000;25000;2.82070e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;4.81614e+02;4.86167e+02;4.36105e-01
2d-nav;hebbian-synapse;16;[2, 2];250;25000;25000;2.82180e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;4.73213e+02;4.78087e+02;1.09679e+00
2d-nav;hebbian-synapse;18;[2, 2];250;25000;25000;2.82136e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;4.59208e+02;4.62900e+02;1.21833e+00
2d-nav;hebbian-synapse;19;[2, 2];250;25000;25000;2.82139e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;5.01541e+02;5.06080e+02;2.01754e-02
2d-nav;hebbian-synapse;21;[2, 2];250;25000;25000;2.82147e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;5.15962e+02;5.18977e+02;8.36338e-01
2d-nav;hebbian-synapse;20;[2, 2];250;25000;25000;2.82223e+03;100;1;6;1.00000e+00;1.00000e+00;1.00000e+00;112;5.09819e+02;5.19588e+02;1.31638e+00
2d-nav;hebbian-synapse;23;[2, 2];250;25000;25000;2.82138e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;4.77343e+02;4.80603e+02;0.00000e+00
2d-nav;hebbian-synapse;22;[2, 2];250;25000;25000;2.82213e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;5.12518e+02;5.15924e+02;8.33467e-03
2d-nav;hebbian-synapse;25;[2, 2];250;25000;25000;2.83497e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;3.86720e+02;3.89369e+02;2.28675e+01
2d-nav;hebbian-synapse;24;[2, 2];250;25000;25000;2.83618e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;5.04153e+02;5.13347e+02;8.57642e-01
2d-nav;hebbian-synapse;27;[2, 2];250;25000;25000;2.83575e+03;100;5;1;1.00000e+00;1.00000e+00;1.00000e+00;112;5.14656e+02;5.18025e+02;0.00000e+00
2d-nav;hebbian-synapse;26;[2, 2];250;25000;25000;2.83689e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;4.68895e+02;4.71584e+02;5.01172e-01
2d-nav;hebbian-synapse;28;[2, 2];250;25000;25000;2.83658e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;3.63729e+02;3.66654e+02;7.47092e+00
2d-nav;hebbian-synapse;29;[2, 2];250;25000;25000;2.94338e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;3.99718e+02;4.01833e+02;1.13012e+01
2d-nav;hebbian-synapse;30;[2, 2];250;25000;25000;2.96613e+03;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;112;4.89398e+02;4.92841e+02;1.25986e-02
2d-nav;freeForm;2;[2, 2];250;25000;25000;5.03194e+04;100;1;4;1.00000e+00;1.00000e+00;5.00000e-02;47;-1.00520e+00;0.00000e+00;0.00000e+00
2d-nav;freeForm;1;[2, 2];250;25000;25000;5.03596e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;53;7.60104e+01;8.06117e+01;1.37786e+02
2d-nav;freeForm;5;[2, 2];250;25000;25000;5.03655e+04;100;100;100;1.00000e+00;1.00000e+00;1.00000e-02;160;1.03707e+02;1.11854e+02;1.77932e+02
2d-nav;freeForm;10;[2, 2];250;25000;25000;5.03719e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;161;-2.84595e+00;0.00000e+00;0.00000e+00
2d-nav;freeForm;9;[2, 2];250;25000;25000;5.03778e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;29;3.65074e+02;8.46081e+01;0.00000e+00
2d-nav;freeForm;7;[2, 2];250;25000;25000;5.03912e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;23;5.68308e+01;-7.53530e-01;0.00000e+00
2d-nav;freeForm;12;[2, 2];250;25000;25000;5.03957e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;20;4.20019e+01;3.88669e-05;0.00000e+00
2d-nav;freeForm;13;[2, 2];250;25000;25000;5.04026e+04;100;52;46;1.00000e+00;1.00000e+00;1.00000e+00;97;4.26188e+02;1.08624e+02;0.00000e+00
2d-nav;freeForm;11;[2, 2];250;25000;25000;5.04095e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;39;2.17784e+01;6.99896e+00;0.00000e+00
2d-nav;freeForm;8;[2, 2];250;25000;25000;5.04170e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;20;2.46760e+01;1.21200e+01;3.41102e-05
2d-nav;freeForm;14;[2, 2];250;25000;25000;5.04208e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;36;8.10994e+01;8.74135e+01;1.42916e+02
2d-nav;freeForm;17;[2, 2];250;25000;25000;5.04320e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;24;1.55409e+02;8.97923e+01;1.42445e+01
2d-nav;freeForm;6;[2, 2];250;25000;25000;5.04498e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;27;3.82452e+01;4.18571e+01;4.33314e-01
2d-nav;freeForm;3;[2, 2];250;25000;25000;5.04564e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;26;6.61920e+01;6.96507e+01;1.25415e+02
2d-nav;freeForm;18;[2, 2];250;25000;25000;5.04565e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;18;-2.82285e+00;0.00000e+00;0.00000e+00
2d-nav;freeForm;4;[2, 2];250;25000;25000;5.04764e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;54;3.73106e+02;3.34140e+02;1.03096e+01
2d-nav;freeForm;21;[2, 2];250;25000;25000;5.04754e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;50;-2.28478e+00;-1.85344e-02;0.00000e+00
2d-nav;freeForm;20;[2, 2];250;25000;25000;5.04824e+04;100;100;100;1.00000e+00;1.00000e+00;1.00000e-02;62;4.15207e+02;0.00000e+00;0.00000e+00
2d-nav;freeForm;19;[2, 2];250;25000;25000;5.04904e+04;100;1;58;1.00000e+00;1.00000e+00;1.00000e+00;82;1.43777e+02;1.42191e+02;1.49776e+02
2d-nav;freeForm;23;[2, 2];250;25000;25000;5.04941e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;3;-1.41700e+00;6.97404e+00;4.86692e+00
2d-nav;freeForm;26;[2, 2];250;25000;25000;5.04856e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;49;3.27857e+02;3.34504e+02;1.35589e+02
2d-nav;freeForm;24;[2, 2];250;25000;25000;5.04933e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;31;3.45807e+02;3.47139e+02;4.76689e+01
2d-nav;freeForm;16;[2, 2];250;25000;25000;5.05167e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;49;5.59706e+01;0.00000e+00;0.00000e+00
2d-nav;freeForm;28;[2, 2];250;25000;25000;5.05042e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;99;1.31061e+02;1.38776e+02;1.36389e+02
2d-nav;freeForm;27;[2, 2];250;25000;25000;5.05110e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;35;6.91347e+01;7.38264e+01;1.27639e+02
2d-nav;freeForm;25;[2, 2];250;25000;25000;5.05201e+04;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;74;3.87761e+01;5.13672e-08;0.00000e+00
2d-nav;freeForm;15;[2, 2];250;25000;25000;5.05450e+04;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;80;1.30118e+02;5.14807e+01;3.04706e+01
2d-nav;freeForm;29;[2, 2];250;25000;25000;5.04241e+04;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;46;3.32421e+02;3.37514e+02;0.00000e+00
2d-nav;freeForm;30;[2, 2];250;25000;25000;5.04068e+04;100;77;23;1.00000e+00;1.00000e+00;1.00000e+00;42;4.19090e+02;2.10834e+02;0.00000e+00
2d-nav;freeForm;22;[2, 2];250;25000;25000;5.05583e+04;100;1;15;1.00000e+00;1.00000e+00;1.00000e+00;103;3.88219e+02;3.94391e+02;8.85564e-01
